Rank,Group,Build,Player,Kills,Deaths,Assists,Healing,Damage,KP %,Defender,Attacker,Result,Full
1,1,HEALS,Anoula,0,3,69,6868978,263238,34.85%,K6,MercGuards,loss,yes
2,5,FS/X,MGM1,11,1,100,0,2390536,56.06%,,,,
3,3,BRUISER,GMANG,5,6,93,0,2200835,49.49%,,,,
4,4,BRUISER,Prime Framming,11,2,98,766,1742308,55.05%,,,,
5,4,BRUISER,Grassy,6,4,90,947,1627454,48.48%,,,,
6,3,HEALS,SweetFeetGriffn,1,3,40,3098946,162749,20.71%,,,,
7,6,BRUISER,Psalm 11,6,4,75,1872,1684632,40.91%,,,,
8,2,BRUISER,Brando,7,7,67,1735,1561836,37.37%,,,,
9,4,QDPS,Fe7on,10,4,60,0,1512881,35.35%,,,,
10,2,BRUISER,Psyduck Nationx,3,5,89,2678,1490739,46.46%,,,,
11,3,FS/X,Pocahontts,6,5,73,0,1435585,39.90%,,,,
12,2,FS/X,Papi Fuego,5,7,69,0,1410954,37.37%,,,,
13,5,BRUISER,SilverElement1,3,6,75,9110,1433818,39.39%,,,,
14,3,BRUISER,OldManGamin,7,10,56,2531,1371393,31.82%,,,,
15,8,DISRUPTOR,Zooob,5,4,80,42824,1332417,42.93%,,,,
16,6,BRUISER,Shield Rush,3,5,103,0,1348067,53.54%,,,,
17,3,DISRUPTOR,Draconix,6,3,58,0,1393579,32.32%,,,,
18,5,BRUISER,Yo Nature,8,8,78,2743,1385974,43.43%,,,,
19,1,BRUISER,Castle of ill,2,4,79,0,1319522,40.91%,,,,
20,6,HEALS,TheFrontLine,0,3,44,2461821,38935,22.22%,,,,
21,10,DEX,Recurve,2,5,45,0,1228850,23.74%,,,,
22,6,VG/IG,IsThatBeauNerrs,0,8,79,36956,1153930,39.90%,,,,
23,8,DISRUPTOR,curame,6,0,75,0,1122774,40.91%,,,,
24,10,DEX,Ariii,6,1,55,0,1099193,30.81%,,,,
25,5,VG/IG,Lady Miso,1,4,100,11510,1081831,51.01%,,,,
26,5,HEALS,BlessYourHeart,0,5,62,1972235,90607,31.31%,,,,
27,2,HEALS,Plucky,0,3,49,2035002,58072,24.75%,,,,
28,7,DISRUPTOR,LF ABG,6,5,59,21372,1036176,32.83%,,,,
29,8,VG/IG,YN FN,4,2,106,53899,964932,55.56%,,,,
30,9,DISRUPTOR,Luna-TerraLulu,5,5,66,0,1014183,35.86%,,,,
31,6,DISRUPTOR,Porpoised,9,3,59,0,950390,34.34%,,,,
32,8,HEALS,pegame,1,2,54,1729209,113810,27.78%,,,,
33,9,VG/IG,Kryee,1,1,108,54024,891973,55.05%,,,,
34,4,VG/IG,Arya Inyet,0,6,80,51722,889504,40.40%,,,,
35,4,HEALS,Ellwing,0,3,51,1751099,45324,25.76%,,,,
36,2,QDPS,Primey1,3,7,41,0,882232,22.22%,,,,
37,1,HEALS,Panda212,0,3,34,1670360,44684,17.17%,,,,
38,9,DISRUPTOR,LegendNoxasMarv,7,6,52,62737,809466,29.80%,,,,
39,7,VG/IG,Dynastinae,5,6,79,11222,851801,42.42%,,,,
40,10,DISRUPTOR,Aldrak,4,3,41,0,793386,22.73%,,,,
41,7,HEALS,Melokore,0,3,31,1487217,58566,15.66%,,,,
42,7,DISRUPTOR,EvilArisen 2.0,6,10,62,737,746316,34.34%,,,,
43,10,HEALS,NickyUwU,0,4,28,1435834,10838,14.14%,,,,
44,7,DISRUPTOR,whayousayy,4,10,44,0,665239,24.24%,,,,
45,9,HEALS,Sassafras,0,7,37,1285077,29405,18.69%,,,,
46,10,DISRUPTOR,OfSeamlezz,6,2,55,389,595269,30.81%,,,,
47,8,DISRUPTOR,KeepYurselfSafe,8,8,56,153,539586,32.32%,,,,
48,9,DISRUPTOR,Helga Longbottom,7,6,57,0,419517,32.32%,,,,
49,1,FLAIL,TheActualBobRoss,2,3,90,44846,351785,46.46%,,,,
50,1,TANK,NotHighRollin,0,0,112,1469,147725,56.57%,,,,
