Rank,Group,Build,Player,Kills,Deaths,Assists,Healing,Damage,KP%,Defender,Attacker,Result,Full,Rank_1,Group_1,Build_1,Player_1,Kills_1,Deaths_1,Assists_1,Healing_1,Damage_1,KP%_1
1,3,QDPS,NotWorkd,18,5,142,0,3311283,53.69%,Mercguards,BH,win,yes,1,,,emo oumae,0,2,61,7202797,428241,34.66%
2,1,HEALS,Anoula,0,1,77,6109505,262478,25.84%,,,,,2,,,def not pogey,3,3,86,0,3368887,50.57%
3,2,QDPS,VelkhanasSummer,6,3,127,6720,2999333,44.63%,,,,,3,,,Saoibh,8,4,76,0,2876009,47.73%
4,6,QDPS,EVERYONE STEP,9,3,122,0,2863221,43.96%,,,,,4,,,Drytron,9,3,90,0,2435433,56.25%
5,4,QDPS,Scorpion Diff,15,3,106,0,2485517,40.60%,,,,,5,,,KevDog,1,3,80,0,2201827,46.02%
6,5,QDPS,Zuko,21,4,125,9022,2465339,48.99%,,,,,6,,,Dynodoug,7,2,72,0,2185342,44.89%
7,8,FS/X,Only Bruiser,4,3,103,0,2297550,35.91%,,,,,7,,,Fresh Start,4,5,63,0,2098119,38.07%
8,1,BRUISER,Not DRE,5,4,136,1050,2146930,47.32%,,,,,8,,,GUA0,17,1,36,0,1968621,30.11%
9,9,DEX,x Statpad,7,0,140,0,1997858,49.33%,,,,,9,,,PlayboiPendy,6,4,87,0,1960561,52.84%
10,6,BRUISER,fella in paris,17,4,129,0,1975298,48.99%,,,,,10,,,T0rta P0under,7,2,82,0,1882105,50.57%
11,7,FS/X,ION RUN IT,11,1,79,0,2036868,30.20%,,,,,11,,,Earth Go Hard,0,3,37,3653225,80912,21.02%
12,5,BRUISER,DAZBEE,6,2,170,1067,1789121,59.06%,,,,,12,,,Wigggles,4,12,56,0,1770628,34.09%
13,6,HEALS,her,0,0,77,3271406,150692,25.84%,,,,,13,,,Kirtaap,0,1,31,3397745,18482,17.61%
14,5,HEALS,Guzy875,0,2,63,3459352,55483,21.14%,,,,,14,,,ConsoleBowFan,3,9,65,0,1646231,38.64%
15,4,BRUISER,Shakmala,16,2,136,1108,1702771,51.01%,,,,,15,,,Dutch Hammer,7,10,55,0,1578346,35.23%
16,3,QDPS,Sponqy,13,7,80,0,1713018,31.21%,,,,,16,,,Drunkules,6,3,52,0,1567576,32.95%
17,5,BRUISER,Not Prince,3,6,148,1217,1783810,50.67%,,,,,17,,,cyy,0,4,44,2840137,154044,25.00%
18,2,BRUISER,Yo Nature,9,6,103,0,1638506,37.58%,,,,,18,,,Aljo,10,1,65,0,1465544,42.61%
19,4,BRUISER,HISS HISS,10,2,145,1585,1484650,52.01%,,,,,19,,,Senior,3,8,75,0,1451153,44.32%
20,6,BRUISER,Cali Mae,12,2,136,4914,1414710,49.66%,,,,,20,,,Duog,6,3,43,0,1360397,27.84%
21,3,BRUISER,Psalm 11,11,3,156,0,1394570,56.04%,,,,,21,,,Grav N Spins,5,9,67,0,1315242,40.91%
22,3,BRUISER,Shmunkkyy,10,5,147,532,1458799,52.68%,,,,,22,,,EnoughKel,4,11,54,0,1201599,32.95%
23,10,DEX,Recurve,7,3,58,0,1379952,21.81%,,,,,23,,,Proguni,1,11,67,10719,1162424,38.64%
24,2,BRUISER,SilverElement1,7,10,93,0,1348295,33.56%,,,,,24,,,Voydx,0,8,66,0,1152440,37.50%
25,7,HEALS,Sassafras,1,3,28,2411195,66359,9.73%,,,,,25,,,War,2,13,52,0,1152587,30.68%
26,4,HEALS,Ellwing,0,1,79,2356920,64920,26.51%,,,,,26,,,Gourd,4,10,57,0,1115251,34.66%
27,2,HEALS,ur fine,0,2,73,2190444,97744,24.50%,,,,,27,,,Tucker,5,7,75,0,1076761,45.45%
28,8,DISRUPTOR,xBooGeY,7,2,67,14466,1175834,24.83%,,,,,28,,,VivalieRising,0,4,20,2054423,74218,11.36%
29,1,HEALS,Plucky,0,0,79,2061258,94658,26.51%,,,,,29,,,II DEMON II,2,4,64,95716,998924,37.50%
30,5,VG/IG,Beau Nerrs,8,3,158,13218,1191622,55.70%,,,,,30,,,Cl3fairy,1,4,21,2047645,102230,12.50%
31,8,VG/IG,Pradix,7,2,94,21000,1019172,33.89%,,,,,31,,,On Me Here,0,3,39,1980421,46071,22.16%
32,10,DEX,Conval,5,5,41,0,1047371,15.44%,,,,,32,,,Jitch4,0,5,80,23706,999346,45.45%
33,3,HEALS,Magnolia Starr,0,5,75,1880011,95488,25.17%,,,,,33,,,4thTimeForSure,10,6,38,0,996829,27.27%
34,8,HEALS,dead weight,1,2,39,1870299,93940,13.42%,,,,,34,,,MyGuyRob,4,6,39,0,1010238,24.43%
35,9,HEALS,Mitosann,3,1,26,1735258,256141,9.73%,,,,,35,,,FreezingMyAzoth,0,12,66,26481,950890,37.50%
36,7,DISRUPTOR,Luna-TerraLulu,3,8,39,0,923814,14.09%,,,,,36,,,Odanne,13,5,28,0,901453,23.30%
37,6,VG/IG,Anom4ly,5,3,125,23646,834431,43.62%,,,,,37,,,Peps II,0,3,48,1655573,75316,27.27%
38,9,DISRUPTOR,Nicobaby,14,6,43,0,841166,19.13%,,,,,38,,,Merlins Infinity,0,2,6,1787137,3296,3.41%
39,2,FLAIL,DudeSavant,0,5,137,224662,708783,45.97%,,,,,39,,,Doc Mommy,0,7,16,1649906,24348,9.09%
40,10,DISRUPTOR,ImTempest,4,3,46,0,781965,16.78%,,,,,40,,,Seamlezz,5,8,38,0,751879,24.43%
41,4,VG/IG,Faye Tal,1,2,153,12643,716572,51.68%,,,,,41,,,Shankos49,0,5,36,1412941,51125,20.45%
42,7,DISRUPTOR,Animull,6,7,38,33005,726403,14.77%,,,,,42,,,Ninja66,4,5,64,9740,693852,38.64%
43,10,DISRUPTOR,Girl Healer,2,5,54,34215,726994,18.79%,,,,,43,,,Aura Farming,4,7,22,0,629965,14.77%
44,7,VG/IG,Dynastinae,2,5,73,10836,664727,25.17%,,,,,44,,,I LOVE PVE,4,7,39,0,617240,24.43%
45,10,HEALS,Im His Guac,0,3,20,1262590,30103,6.71%,,,,,45,,,Warchief Roric,4,10,27,3228,616329,17.61%
46,9,DISRUPTOR,beta,3,7,46,0,639459,16.44%,,,,,46,,,HEN0,2,7,34,0,533828,20.45%
