Rank,Group,Build,Player,Kills,Deaths,Assists,Healing,Damage,KP%,Defender,Attacker,Result,Full,Rank_1,Group_1,Build_1,Player_1,Kills_1,Deaths_1,Assists_1,Healing_1,Damage_1,KP%_1
1,2,QDPS,Workd,22,3,115,0,3623980,44.92%,Mercguards,Bountiful Harvest,win,yes,1,1,HEALS,emo oumae,0,4,54,5722590,559988,27.69%
2,1,HEALS,Anoula,0,4,69,4854219,215193,22.62%,,,,,2,4,QDPS,Drytron,14,5,74,0,2696616,45.13%
3,6,QDPS,mommi,5,2,143,0,2597064,48.52%,,,,,3,7,FS/X,Dynodoug,6,4,56,0,2360311,31.79%
4,4,QDPS,Only Bruiser,14,3,156,0,2521716,55.74%,,,,,4,3,QDPS,BeanyBaby,8,4,92,0,2062156,51.28%
5,8,FS/X,x Statpad,7,4,145,0,2112242,49.84%,,,,,5,4,QDPS,T0rta P0under,7,1,81,0,2015116,45.13%
6,2,BRUISER,Psalm 11,6,4,136,3135,2060291,46.56%,,,,,6,10,DEX,GUA0,21,2,63,0,1917612,43.08%
7,1,QDPS,Pepega69,7,4,138,0,1931889,47.54%,,,,,7,1,BRUISER,Playoff Pendy,3,6,76,0,1782331,40.51%
8,4,BRUISER,Injury,13,8,115,0,1914116,41.97%,,,,,8,1,BRUISER,ConsoleBowFan,6,4,86,0,1749018,47.18%
9,2,BRUISER,TheActualBobRoss,7,2,125,4259,1888147,43.28%,,,,,9,9,HEALS,VixKo,2,5,34,3183485,76958,18.46%
10,5,BRUISER,Not DRE,16,3,130,0,1802725,47.87%,,,,,10,8,FS/X,Fresh Start,6,6,72,0,1611886,40.00%
11,5,BRUISER,Ebolda,4,4,127,0,1714935,42.95%,,,,,11,6,BRUISER,Dutch Hammer,5,9,48,0,1566574,27.18%
12,3,QDPS,Buster,22,6,80,0,1750163,33.44%,,,,,12,6,BRUISER,OhMyGourd,5,4,87,0,1495410,47.18%
