Rank,Group,Build,Player,Kills,Deaths,Assists,Healing,Damage,KP%,Defender,Attacker,Result,Full,Rank_1,Group_1,Build_1,Player_1,Kills_1,Deaths_1,Assists_1,Healing_1,Damage_1,KP%_1
13,6,BRUISER,DAZBEE,12,5,126,0,1598717,45.25%,,,,,13,2,QDPS,Recurve,4,3,60,0,1408737,32.82%
14,4,BRUISER,HISS HISS,7,7,120,0,1510840,41.64%,,,,,14,5,QDPS,Zercules,4,6,54,0,1384715,29.74%
15,6,BRUISER,Not Prince,4,8,120,377,1416949,40.66%,,,,,15,,BRUISER,Grav N Spins,4,7,83,0,1303114,44.62%
16,6,VG/IG,II DEMON II,5,3,157,28577,1177160,53.11%,,,,,16,6,HEALS,pegame,0,2,63,2447965,70843,32.31%
17,1,BRUISER,iFord,3,6,123,7793,1279135,41.31%,,,,,17,,BRUISER,I miss bed,1,8,72,0,1235264,37.44%
18,6,HEALS,Guzy875,0,2,71,2471806,57518,23.28%,,,,,18,7,DISRUPTOR,4thTimeForSure,16,4,38,0,1208478,27.69%
19,1,HEALS,dead weight,0,2,80,2130632,172539,26.23%,,,,,19,6,QDPS,SoFreshSonu,9,1,75,0,1266694,43.08%
20,9,DISRUPTOR,Killa Farmer,7,1,115,26067,1189860,40.00%,,,,,20,,BRUISER,Modern Baseball,3,9,78,0,1217938,41.54%
21,8,VG/IG,Pradix,4,5,110,21526,1109747,37.38%,,,,,21,2,BRUISER,Wiggles,3,11,43,0,1247850,23.59%
22,3,BRUISER,Shield Rush,4,5,133,0,1146743,44.92%,,,,,22,9,VG/IG,Ser Duoglas,4,7,61,17825,1158420,33.33%
23,10,DISRUPTOR,Jayce Jackson,12,2,94,4742,1132693,34.75%,,,,,23,5,BRUISER,Don't Peel 4 Me,3,8,63,0,1183132,33.85%
24,9,DISRUPTOR,Scorp Diff,17,3,97,0,1104590,37.38%,,,,,24,9,DISRUPTOR,Smoothie--Jr,2,11,61,0,1120803,32.31%
25,2,HEALS,TheFrontLine,1,2,77,2055192,179411,25.57%,,,,,25,4,BRUISER,Tucker,3,7,69,0,1124994,36.92%
26,3,VG/IG,Not Beau Nerrs,0,3,146,10998,968590,47.87%,,,,,26,2,BRUISER,Nizzo,3,12,61,0,1088188,32.82%
27,5,HEALS,Magnolia Starr,0,2,68,1986291,153708,22.30%,,,,,27,9,DISRUPTOR,Drex,6,9,46,26827,1206017,26.67%
28,8,DISRUPTOR,Nicobaby,19,4,73,0,1079309,30.16%,,,,,28,6,QDPS,Waldo,9,2,82,26835,1039516,46.67%
29,10,DEX,Popasus,11,4,68,0,1091933,25.90%,,,,,29,3,HEALS,BadAtThis,0,7,41,1924165,36417,21.03%
30,4,QDPS,DjSwimpyMan,4,7,89,0,1105849,30.49%,,,,,30,10,DISRUPTOR,xRhaego,8,8,46,0,990333,27.69%
31,10,DISRUPTOR,beta,7,2,72,0,1078703,25.90%,,,,,31,1,HEALS,On Me Here,0,7,37,1766835,137361,18.97%
32,9,DISRUPTOR,Conval,14,1,98,0,1083150,36.72%,,,,,32,3,BRUISER,jno,4,13,58,0,960765,31.79%
33,10,HEALS,submissive,1,2,42,2060272,55263,14.10%,,,,,33,5,HEALS,ape dos mil,0,8,46,1811616,66511,23.59%
34,9,HEALS,ImpactVolts,0,3,43,2036666,44469,14.10%,,,,,34,8,DISRUPTOR,Saoibhe,2,8,51,0,933738,27.18%
35,7,DISRUPTOR,Zooob,4,11,33,16762,1039476,12.13%,,,,,35,4,HEALS,PhckinMilker,0,5,38,1729755,78452,19.49%
36,5,DISRUPTOR,Disruptur,5,2,87,0,989073,30.16%,,,,,36,10,HEALS,Asmonbald,0,5,34,1732132,35886,17.44%
37,9,DISRUPTOR,Ionbuster,10,5,96,0,963685,34.75%,,,,,37,3,VG/IG,Jitch4,2,11,75,19923,857956,39.49%
38,3,BRUISER,SilverElement1,6,5,119,0,959471,40.98%,,,,,38,10,DISRUPTOR,Odanne,6,10,37,0,825673,22.05%
39,7,HEALS,x stats,0,6,21,1886061,65993,6.89%,,,,,39,10,DISRUPTOR,Sunberg,2,8,38,0,901864,20.51%
40,2,FLAIL,DudeSavant,0,1,169,156804,832151,55.41%,,,,,40,2,HEALS,cyy,0,9,30,1353543,106559,15.38%
41,10,DISRUPTOR,Aldrak,7,8,67,0,951393,24.26%,,,,,41,,HEALS,Kirtaap,0,1,31,1464845,37895,15.90%
42,7,VG/IG,Dynastinae,3,5,59,12749,904027,20.33%,,,,,42,8,VG/IG,Alepeno,4,5,83,35691,714807,44.62%
43,3,HEALS,BlessYourHeart,0,4,64,1649186,104497,20.98%,,,,,43,,HEALS,funwithfeet.com,1,4,31,1327763,60590,16.41%
44,7,DISRUPTOR,Luna-TerraLulu,5,6,38,0,922337,14.10%,,,,,44,7,VG/IG,Ninja66,0,4,62,11184,695971,31.79%
45,8,HEALS,Im His Guac,0,3,45,1637624,49160,14.75%,,,,,45,8,HEALS,Hallows Eve,0,7,34,1231619,39610,17.44%
46,4,HEALS,Ellwing,1,2,60,1393147,35513,20.00%,,,,,46,8,DISRUPTOR,Retired Arc,2,7,57,8068,570966,30.26%
47,5,HEALS,EZ Target,0,3,29,1295016,38577,9.51%,,,,,47,7,DISRUPTOR,Rvspberri,5,3,35,0,547826,20.51%
48,7,DISRUPTOR,Toofs,5,4,46,0,621714,16.72%,,,,,48,1,FLAIL,Hadessss,1,6,86,94718,464352,44.62%
49,8,DISRUPTOR,Briizyn,3,4,59,0,370848,20.33%,,,,,49,9,DISRUPTOR,ILemi,1,5,55,0,396222,28.72%
50,1,TANK,brittneyy,1,0,161,685,295528,53.11%,,,,,50,2,TANK,BUTTER ON POINT,0,3,84,0,553139,43.08%
