Rank,Group,Build,Player,Kills,Deaths,Assists,Healing,Damage,KP%,Defender,Attacker,Result,Full,Rank_1,Group_1,Build_1,Player_1,Kills_1,Deaths_1,Assists_1,Healing_1,Damage_1,KP%_1
1,1,HEALS,Anoula,0,0,63,6053942,287849,38.89%,Mercguards,BH,win,yes,1,1,HEALS,Wilmeister,0,4,54,5345701,366736,27.84%
2,4,QDPS,Velkhana'sSummer,6,4,77,0,2151692,51.23%,,,,,2,8,FS/X,Fresh Start,9,3,90,0,2345945,51.03%
3,3,QDPS,NotWorkd,3,4,74,0,2097516,47.53%,,,,,3,2,QDPS,BeanyyBaby,9,2,86,0,2132549,48.97%
4,5,QDPS,Zuko,9,4,52,0,2039748,37.65%,,,,,4,4,QDPS,Drytron,5,4,81,0,2083291,44.33%
5,8,FS/X,I dont like this,5,3,76,0,1806791,50.00%,,,,,5,5,BRUISER,Dutch Hammer,16,5,91,0,1874182,55.15%
6,2,QDPS,beta,5,0,69,0,1723869,45.68%,,,,,6,4,QDPS,T0rta POunder,3,4,80,0,1905715,42.78%
7,6,BRUISER,Not Prince,8,3,92,0,1634687,61.73%,,,,,7,2,BRUISER,Wigggles,7,4,109,0,1702709,59.79%
8,1,BRUISER,Psalm 11,5,4,82,1984,1597678,53.70%,,,,,8,5,BRUISER,OhMyGourd,8,5,90,0,1533993,50.52%
9,6,QDPS,mommi,8,4,77,0,1530650,52.47%,,,,,9,9,DEX,GUA0,11,1,79,0,1513007,46.39%
10,5,BRUISER,Who Dat Be,7,5,76,767,1501673,51.23%,,,,,10,3,BRUISER,Voydx,9,5,96,0,1455593,54.12%
11,4,BRUISER,Injury,9,8,76,777,1452706,52.47%,,,,,11,6,QDPS,Drunkules,6,2,54,0,1449798,30.93%
12,4,BRUISER,HISS HISS,7,5,96,0,1416347,63.58%,,,,,12,6,BRUISER,ConsoleBowFan,3,6,91,0,1433883,48.45%
13,7,FS/X,Pepega69,3,2,52,0,1437275,33.95%,,,,,13,4,BRUISER,Cpt. J Smitten,2,4,88,0,1352839,46.39%
14,6,BRUISER,DAZBEE,5,2,94,561,1358666,61.11%,,,,,14,3,QDPS,SoFreshSonu,8,1,86,0,1343410,48.45%
15,3,BRUISER,Shmunkkyy,0,8,72,1861,1398591,44.44%,,,,,15,6,BRUISER,Yu Darvish,8,8,73,0,1319579,41.75%
16,5,BRUISER,Cali Mae,6,5,74,0,1349730,49.38%,,,,,16,3,VG/IG,FreezingMyAzoth,2,3,124,37805,1264248,64.95%
17,6,QDPS,DaddyJD,9,2,60,0,1317633,42.59%,,,,,17,1,BRUISER,Playoff Pendy,2,5,81,0,1376029,42.78%
18,3,BRUISER,SilverElement1,9,9,66,3733,1238338,46.30%,,,,,18,8,HEALS,VixKo,0,2,30,2419121,43563,15.46%
19,3,VG/IG,Not Beau Nerrs,3,3,77,4846,1266817,49.38%,,,,,19,2,HEALS,cyy,0,2,48,2176743,92693,24.74%
20,6,HEALS,Guzy875,1,1,47,2203644,94249,29.63%,,,,,20,6,QDPS,Aljo,9,5,42,0,1114594,26.29%
21,2,BRUISER,Hattorii,3,8,76,1646,1039241,48.77%,,,,,21,2,BRUISER,Nizzo,3,6,88,0,1098936,46.91%
22,5,HEALS,Fem,3,2,50,1833500,97562,32.72%,,,,,22,3,BRUISER,Bisruptor,4,5,92,0,1053729,49.48%
23,2,BRUISER,Yo Nature,3,9,71,0,998735,45.68%,,,,,23,4,BRUISER,War,4,10,68,0,1062391,37.11%
24,2,HEALS,DreamuTeamu,0,2,56,1681104,142396,34.57%,,,,,24,5,HEALS,pegame,1,1,65,2033007,62201,34.02%
25,8,HEALS,Im His Guac,0,3,44,1770678,61311,27.16%,,,,,25,2,VG/IG,Jitch4,6,2,114,20612,977941,61.86%
26,1,HEALS,TheFrontLine,0,2,52,1686587,55315,32.10%,,,,,26,3,HEALS,Cl3fairy,1,2,29,1877380,32687,15.46%
27,8,VG/IG,Anom4ly,4,5,68,40899,865960,44.44%,,,,,27,1,HEALS,eboy oumae,0,3,53,1658818,113527,27.32%
28,8,DISRUPTOR,xBooGeY,3,3,65,21846,840981,41.98%,,,,,28,9,DISRUPTOR,Odanne,12,2,38,0,851631,25.77%
29,5,QDPS,Disruptur,5,7,40,0,901733,27.78%,,,,,29,5,QDPS,xRhaego,10,3,69,0,881740,40.72%
30,7,VG/IG,Pradix,2,2,49,20711,839639,31.48%,,,,,30,7,HEALS,Kirtaap,1,4,19,1700530,18304,10.31%
31,9,DEX,Conval,4,3,22,0,868940,16.05%,,,,,31,8,VG/IG,II DEMON II,3,5,91,49062,739262,48.45%
32,7,DISRUPTOR,Luna-TerraLulu,3,9,36,0,768653,24.07%,,,,,32,6,HEALS,BadAtThis,1,4,38,1427242,27119,20.10%
33,9,DISRUPTOR,Jayce Jackson,2,4,34,575,745620,22.22%,,,,,33,9,DISRUPTOR,Seamlezz,7,1,54,0,723118,31.44%
34,7,HEALS,x stats,0,2,20,1444092,32636,12.35%,,,,,34,9,DISRUPTOR,Sunberg,4,5,29,0,723014,17.01%
35,9,DISRUPTOR,Ionbuster,4,4,28,0,738832,19.75%,,,,,35,,HEALS,VivalieRising,0,0,24,1378828,39424,12.37%
36,2,FLAIL,DudeSavant,0,2,101,137657,635590,62.35%,,,,,36,5,HEALS,OnOurHealer,0,1,39,1300269,48202,20.10%
37,4,HEALS,Ellwing,0,5,30,1358993,18197,18.52%,,,,,37,,VG/IG,Bot Left Point,4,8,35,54779,645373,20.10%
38,9,HEALS,Flight,0,1,16,1293037,22125,9.88%,,,,,38,4,HEALS,Peps II,0,2,32,1249708,49100,16.49%
39,3,HEALS,Plucky,0,6,55,1197877,30033,33.95%,,,,,39,7,DISRUPTOR,4thTimeForSure,3,6,38,0,635096,21.13%
40,4,VG/IG,Faye Tal,1,6,94,11871,608373,58.64%,,,,,40,7,FS/X,Ninja66,1,2,87,2355,496084,45.36%
41,7,DISRUPTOR,Animull,6,5,26,28618,586594,19.75%,,,,,41,8,DISRUPTOR,Smooopi,1,6,66,0,424434,34.54%
42,9,DISRUPTOR,Killa Farmer,5,9,36,10419,520227,25.31%,,,,,42,7,DISRUPTOR,Rvspberri,2,3,43,0,413745,23.20%
43,8,DISRUPTOR,Zooob,3,1,76,0,502961,48.77%,,,,,43,1,FLAIL,Hadessss,1,3,100,62662,303254,52.06%
44,1,FLAIL,Dong Seo Long,1,6,70,24054,226584,43.83%,,,,,44,1,TANK,BUTTER ON POINT,0,1,110,0,136880,56.70%
45,1,TANK,CP Money,0,4,86,0,228978,53.09%,,,,,45,,,,,,,,,
46,,,,,,,,,,,,,,46,,,,,,,,,
47,,,,,,,,,,,,,,47,,,,,,,,,
48,,,,,,,,,,,,,,48,,,,,,,,,
49,,,,,,,,,,,,,,49,,,,,,,,,
50,,,,,,,,,,,,,,50,,,,,,,,,
