Rank,Group,Build,Player,Kills,Deaths,Assists,Healing,Damage,KP%,Defender,Attacker,Result,Full,Rank_1,Group_1,Build_1,Player_1,Kills_1,Deaths_1,Assists_1,Healing_1,Damage_1,KP%_1
1,1,HEALS,Anoula,0,1,28,3215090,104975,25.69%,Mercguards,PD,loss,no,1,,,plz choke me,4,1,92,0,1398854,54.24%
2,3,QDPS,Buster,5,6,22,0,1138350,24.77%,,,,,2,,HEALS,Waldo,0,1,85,1763834,325888,48.02%
3,2,BRUISER,BeefyWhiteGuy,4,2,43,0,1115091,43.12%,,,,,3,,,Popola,6,1,99,10066,1187677,59.32%
4,4,QDPS,x Statpad,1,4,48,0,1080075,44.95%,,,,,4,,,def not pogey,10,0,79,0,1117678,50.28%
5,2,BRUISER,hinattaa,1,5,27,0,1056082,25.69%,,,,,5,,,5.7L V8 IROC-Z,6,1,108,0,1099700,64.41%
6,1,BRUISER,Who Mite Dat Be,2,1,49,0,927121,46.79%,,,,,6,,,Ebolda,7,1,96,0,1058048,58.19%
7,4,BRUISER,Grassy,1,2,45,0,920043,42.20%,,,,,7,,,ebarbs,13,0,68,0,1012102,45.76%
8,2,QDPS,Pepega69,7,1,57,0,868031,58.72%,,,,,8,,,Full Hog,4,2,91,0,924614,53.67%
9,9,QDPS,Kheer is my son,6,1,36,0,871511,38.53%,,,,,9,,,Not DRE,5,4,72,0,911202,43.50%
10,,BRUISER,Injury,3,3,43,0,814156,42.20%,,,,,10,,HEALS,Ooops I Came,0,1,77,1601737,117330,43.50%
11,5,BRUISER,latina enjoyer,1,3,55,0,793764,51.38%,,,,,11,,,Teach me sensei,10,2,76,0,866610,48.59%
12,5,BRUISER,Grav N Spins,2,5,38,0,768548,36.70%,,,,,12,,,I miss bed,2,3,87,0,871451,50.28%
13,4,VG/IG,Il DEMON Il,2,5,45,21169,683631,43.12%,,,,,13,,,Gintani,3,4,49,0,895354,29.38%
