Rank,Group,Build,Player,Kills,Deaths,Assists,Healing,Damage,KP%,Defender,Attacker,Result,Full,Rank_1,Group_1,Build_1,Player_1,Kills_1,Deaths_1,Assists_1,Healing_1,Damage_1,KP%_1
1,2,QDPS,VelkhanaSummer,10,0,77,660,3322925,63.50%,Bountiful Harvest,Mercguards,loss,yes,1,,,,,,,,,
2,2,QDPS,Workd,9,1,64,0,2757730,53.28%,,,,,2,,,,,,,,,
3,1,HEALS,Anoula,1,0,36,5049668,234630,27.01%,,,,,3,,,,,,,,,
4,4,BRUISER,I dont like this,4,5,68,0,1907368,52.55%,,,,,4,,,,,,,,,
5,3,QDPS,Buster,7,0,67,0,1763438,54.01%,,,,,5,,,,,,,,,
6,6,BRUISER,Grassy,6,3,66,0,1709933,52.55%,,,,,6,,,,,,,,,
7,7,FS/X,x Statpad,5,2,70,0,1785662,54.74%,,,,,7,,,,,,,,,
8,5,BRUISER,Ebolda,0,6,59,3606,1642390,43.07%,,,,,8,,,,,,,,,
9,4,QDPS,Gintani,2,10,42,0,1666938,32.12%,,,,,9,,,,,,,,,
10,5,BRUISER,Bar God,4,4,64,428,1563535,49.64%,,,,,10,,,,,,,,,
11,9,DISRUPTOR,Scorpion Diff,10,2,39,0,1443364,35.77%,,,,,11,,,,,,,,,
12,1,QDPS,e4spartanTTV,5,10,56,0,1446164,44.53%,,,,,12,,,,,,,,,
13,2,BRUISER,Injury,4,6,47,2404,1441633,37.23%,,,,,13,,,,,,,,,
14,3,BRUISER,Not DRE,7,8,66,0,1392392,53.28%,,,,,14,,,,,,,,,
15,2,BRUISER,Psalm 11,2,9,47,0,1385813,35.77%,,,,,15,,,,,,,,,
16,8,FS/X,DjSwimpyMan,4,5,54,0,1380629,42.34%,,,,,16,,,,,,,,,
17,3,HEALS,sombi,0,0,36,2370171,142386,26.28%,,,,,17,,,,,,,,,
18,3,VG/IG,II DEMON II,0,2,77,22794,1255035,56.20%,,,,,18,,,,,,,,,
19,6,VG/IG,Not Beau Nerrs,3,6,56,9989,1371970,43.07%,,,,,19,,,,,,,,,
20,6,BRUISER,Minos Framming,4,9,49,0,1247113,38.69%,,,,,20,,,,,,,,,
21,6,QDPS,LeefRx,7,5,44,0,1167538,37.23%,,,,,21,,,,,,,,,
22,9,DEX,Kheer is my son,8,2,37,0,1261638,32.85%,,,,,22,,,,,,,,,
23,5,HEALS,Ellarya Starr,0,1,36,1972951,124178,26.28%,,,,,23,,,,,,,,,
24,2,HEALS,dead weight,0,3,29,2032170,77187,21.17%,,,,,24,,,,,,,,,
25,4,BRUISER,Shield Rush,0,9,51,3040,978951,37.23%,,,,,25,,,,,,,,,
26,7,HEALS,ImpactVolts,0,0,23,1798281,33640,16.79%,,,,,26,,,,,,,,,
27,4,VG/IG,VG IG,1,10,57,11157,847455,42.34%,,,,,27,,,,,,,,,
28,8,HEALS,Melokore,0,6,29,1663302,8810,21.17%,,,,,28,,,,,,,,,
29,4,HEALS,BlessYourHeart,0,5,28,1485274,78497,20.44%,,,,,29,,,,,,,,,
30,5,QDPS,Sweezy,8,1,53,10117,775727,44.53%,,,,,30,,,,,,,,,
31,7,DISRUPTOR,Jayce Jackson,9,2,45,10795,786568,39.42%,,,,,31,,,,,,,,,
32,3,BRUISER,Yo Nature,1,12,33,2078,798516,24.82%,,,,,32,,,,,,,,,
33,10,DISRUPTOR,beta,0,4,8,0,787513,5.84%,,,,,33,,,,,,,,,
34,6,HEALS,Ellwing,0,3,21,1466124,42689,15.33%,,,,,34,,,,,,,,,
35,1,HEALS,Panda212,0,5,23,1443854,40675,16.79%,,,,,35,,,,,,,,,
36,9,VG/IG,TragicMagick,2,7,39,0,746970,29.93%,,,,,36,,,,,,,,,
37,9,HEALS,x stats,0,5,20,1447250,25114,14.60%,,,,,37,,,,,,,,,
38,7,DISRUPTOR,Nicobaby,4,5,38,0,710945,30.66%,,,,,38,,,,,,,,,
39,5,HEALS,EZ Target,0,0,22,1399420,4819,16.06%,,,,,39,,,,,,,,,
40,10,DISRUPTOR,Aldrak,3,8,5,0,674039,5.84%,,,,,40,,,,,,,,,
41,10,DEX,Popasus,0,3,11,0,644616,8.03%,,,,,41,,,,,,,,,
42,9,DISRUPTOR,Luna-TerraLulu,0,11,26,0,575537,18.98%,,,,,42,,,,,,,,,
43,10,DISRUPTOR,Ionbuster,0,6,10,0,540960,7.30%,,,,,43,,,,,,,,,
44,7,VG/IG,Dynastinae,0,3,64,10597,484583,46.72%,,,,,44,,,,,,,,,
45,10,HEALS,Im His Guac,0,8,3,941347,31578,2.19%,,,,,45,,,,,,,,,
46,8,VG/IG,Anom4ly,4,7,35,14636,505005,28.47%,,,,,46,,,,,,,,,
47,1,FLAIL,iFord,1,9,45,31629,317105,33.58%,,,,,47,,,,,,,,,
48,8,DISRUPTOR,Zooob,0,8,14,5997,342198,10.22%,,,,,48,,,,,,,,,
49,1,TANK,CP Money,2,6,43,0,314087,32.85%,,,,,49,,,,,,,,,
50,8,DISRUPTOR,Briizyn,0,5,22,0,225712,16.06%,,,,,50,,,,,,,,,
