Rank,Group,Build,Player,Kills,Deaths,Assists,Healing,Damage,KP%,Defender,Attacker,Result,Full,Rank_1,Group_1,Build_1,Player_1,Kills_1,Deaths_1,Assists_1,Healing_1,Damage_1,KP%_1
1,4,QDPS,Pestilenced,12,2,146,0,3413426,54.67%,Mercguards,OppoBon,win,yes,1,,,Ekong,16,2,86,0,3895418,60.36%
2,5,QDPS,Only Bruiser,10,2,133,0,2769738,49.48%,,,,,2,,,Marveel,0,5,53,6546921,565941,31.36%
3,2,QDPS,Anvbis,10,2,155,11712,2723753,57.09%,,,,,3,,,choke me papi,12,2,60,0,2902024,42.60%
4,8,FS/X,mommi,6,5,96,0,2717549,35.29%,,,,,4,,,Reported Guy,20,4,48,0,2799041,40.24%
5,1,HEALS,Anoula,0,2,61,4909350,225245,21.11%,,,,,5,,,Kirikou,5,3,94,0,2268792,58.58%
6,9,DEX,x Statpad,7,3,124,0,2247129,45.33%,,,,,6,,,Jaro,5,5,68,0,1971124,43.20%
7,7,FS/X,ION RUN IT,4,4,87,0,1995515,31.49%,,,,,7,,,Akilleys III,2,4,61,0,1912744,37.28%
8,6,BRUISER,UNLUCKY,13,3,133,2536,1816542,50.52%,,,,,8,,,grippy socks,7,8,87,44677,1783361,55.62%
9,6,BRUISER,Injury,19,3,120,0,1757450,48.10%,,,,,9,,,Ebolda,3,5,78,0,1750979,47.93%
10,4,BRUISER,Totally Not DRE,6,6,121,0,1768084,43.94%,,,,,10,,,FireStaff OP,2,9,68,0,1746293,41.42%
11,6,QDPS,Sponqy,21,3,90,0,1652413,38.41%,,,,,11,,,Gourd,4,9,56,0,1634542,35.50%
12,1,QDPS,Girl Healer,12,2,89,0,1613257,34.95%,,,,,12,,,Kitt3n Tamer,2,7,61,0,1592693,37.28%
13,4,BRUISER,HISS HISS,13,5,113,0,1561310,43.60%,,,,,13,,,Kirtaap,0,5,24,3196366,13524,14.20%
14,6,HEALS,Flight,1,4,65,2816583,175491,22.84%,,,,,14,,,Zercules,4,4,26,0,1582384,17.75%
15,5,HEALS,Guzy875,0,2,26,3070922,22062,9.00%,,,,,15,,,Vore,5,8,74,0,1482628,46.75%
16,2,BRUISER,TheActualBobRoss,7,7,115,3615,1465039,42.21%,,,,,16,,,BADASS,6,4,83,0,1410129,52.66%
17,10,DEX,Recurve,14,0,66,0,1421619,27.68%,,,,,17,,,I miss bed,0,11,50,0,1286483,29.59%
18,2,BRUISER,Who Mite Dat Be,5,4,125,872,1391414,44.98%,,,,,18,,,VixKo,0,2,21,2444837,43631,12.43%
19,5,BRUISER,Not Prince,2,4,134,1100,1383470,47.06%,,,,,19,,,shmook,2,10,51,0,1164025,31.36%
20,1,BRUISER,Cali Mae,6,4,130,814,1363510,47.06%,,,,,20,,,Chair Survivor,2,5,37,21038,1146778,23.08%
21,3,BRUISER,Psalm 11,5,4,125,814,1359157,44.98%,,,,,21,,,Valentina Starr,0,2,38,2105491,98328,22.49%
22,5,BRUISER,DAZBEE,8,5,112,1213,1353493,41.52%,,,,,22,,,Lobotomy Victim,0,1,29,2141494,82949,17.16%
23,7,HEALS,Sassafras,0,7,17,2640899,35419,5.88%,,,,,23,,,Jayt,1,12,55,0,1125969,33.14%
24,10,DEX,Conval,10,0,67,0,1346134,26.64%,,,,,24,,,Porpoised,11,3,50,0,1098159,36.09%
25,3,BRUISER,SilverElement1,4,8,105,2369,1262114,37.72%,,,,,25,,,SayMyNameDaddy,0,6,20,2180439,48308,11.83%
26,5,VG/IG,Chuck Daly,5,4,138,23809,1166382,49.48%,,,,,26,,,DE IS A CRUTCH,1,4,14,2080773,76104,8.88%
27,6,VG/IG,Pradix,4,2,140,25422,1060438,49.83%,,,,,27,,,Self Inflicted,6,6,71,0,1027077,45.56%
28,3,QDPS,eMVePe,10,2,67,0,1058003,26.64%,,,,,28,,,Seamlezz,12,4,31,0,1028440,25.44%
29,2,HEALS,Plucky,0,1,68,1961868,91461,23.53%,,,,,29,,,Sweezy,4,4,50,16247,1010721,31.95%
30,4,HEALS,DreamuTeamu,0,1,70,1847545,107770,24.22%,,,,,30,,,any ping,0,2,23,1980129,40944,13.61%
31,1,HEALS,dead weight,0,2,68,1803342,124965,23.53%,,,,,31,,,Earth Go Hard,0,8,35,1708220,85859,20.71%
32,3,HEALS,TheFrontLine,1,5,42,1887217,68803,14.88%,,,,,32,,,Aldrak,8,5,69,0,869021,45.56%
33,7,DISRUPTOR,Ionbuster,8,3,49,0,962584,19.72%,,,,,33,,,NW Degen,1,3,49,12110,884371,29.59%
34,9,DISRUPTOR,Scorp Diff,7,5,82,0,942626,30.80%,,,,,34,,,II DEMON II,3,5,85,35788,827243,52.07%
35,8,DISRUPTOR,xBooGeY,1,3,74,15484,960206,25.95%,,,,,35,,,oops I missed,0,12,68,0,830943,40.24%
36,9,DISRUPTOR,Killa Farmer,15,3,67,0,896324,28.37%,,,,,36,,,Melokore,0,5,39,1507154,83559,23.08%
37,9,HEALS,Mitosann,0,3,31,1819786,36516,10.73%,,,,,37,,,MyGuyRob,6,7,71,31400,783911,45.56%
38,7,DISRUPTOR,Luna-TerraLulu,8,8,34,0,915618,14.53%,,,,,38,,,I LOVE PVE,7,6,67,0,776150,43.79%
39,8,VG/IG,Anom4ly,4,2,92,23707,766472,33.22%,,,,,39,,,Restricted Guy,0,2,19,1544433,7858,11.24%
40,9,DISRUPTOR,Calros Riggle,12,5,62,9304,799558,25.61%,,,,,40,,,Cl3fairy,0,5,26,1347784,36515,15.38%
41,10,DISRUPTOR,beta,5,3,45,0,800711,17.30%,,,,,41,,,deep inside,4,7,35,0,681609,23.08%
42,10,HEALS,I'm In Shambles,0,0,41,1357751,78707,14.19%,,,,,42,,,Jonerr,1,9,42,15246,672040,25.44%
43,8,HEALS,Im His Guac,0,4,29,1377087,67214,10.03%,,,,,43,,,ke123,1,3,34,15857,614182,20.71%
44,2,FLAIL,DudeSavant,2,1,150,184471,573126,52.60%,,,,,44,,,Slayer,1,6,33,0,496999,20.12%
45,4,VG/IG,Faye Tal,5,3,129,9705,603918,46.37%,,,,,45,,,Bolrym,0,6,72,69949,409145,42.60%
46,7,VG/IG,Dynastinae,1,9,51,20100,610643,17.99%,,,,,46,,,Jooek,1,9,29,36951,409378,17.75%
47,3,HEALS,ur fine,0,1,26,1255169,13261,9.00%,,,,,47,,,GUSSTAVO,0,8,49,70441,381783,28.99%
48,10,DISRUPTOR,NickyUwU,5,3,56,0,603489,21.11%,,,,,48,,,PEakinGDdUK2112,3,13,48,0,358850,30.18%
49,8,DISRUPTOR,Zooob,1,4,54,0,522550,19.03%,,,,,49,,,BadNewsBryce,1,10,34,0,278298,20.71%
50,1,TANK,CP Money,0,1,152,5342,287219,52.60%,,,,,50,,,Dianafire,0,4,78,0,188802,46.15%
