Rank,Group,Build,Player,Kills,Deaths,Assists,Healing,Damage,KP%,Defender,Attacker,Result,Full,Rank_1,Group_1,Build_1,Player_1,Kills_1,Deaths_1,Assists_1,Healing_1,Damage_1,KP%_1
35,8,HEALS,EZ Target,0,3,18,726719,16060,11.46%,,,,,35,,,Melokore,0,0,12,726149,16101,15.79%
36,9,DISRUPTOR,Killa Farmer,2,1,40,3014,376567,26.75%,,,,,36,,,JonathanElejalde,0,3,31,1836,360153,40.79%
37,9,HEALS,ImpactVolts,2,1,18,691842,40403,12.74%,,,,,37,,,MilkMeNow,0,1,14,644618,41606,18.42%
38,4,HEALS,Ellwing,0,1,42,662116,25091,26.75%,,,,,38,,,NW Degen,1,3,18,4063,343539,25.00%
39,2,HEALS,DreamuTeamu,0,1,44,645078,31524,28.03%,,,,,39,,,II DEMON II,1,6,15,9101,300220,21.05%
40,7,VG/IG,Dynastinae,4,2,37,4287,336999,26.11%,,,,,40,,,Take Care Bear,0,2,7,592567,14124,9.21%
41,8,DISRUPTOR,ImTempest,7,3,44,0,319054,32.48%,,,,,41,,,I LOVE PVE,1,5,11,0,283056,15.79%
42,3,HEALS,SweetFeetGriffn,0,2,43,621896,25575,27.39%,,,,,42,,,Oppo Bone,0,6,11,483749,36248,14.47%
43,7,HEALS,x stats,0,3,18,650278,22808,11.46%,,,,,43,,,Jooek,0,2,14,14024,247711,18.42%
44,7,DISRUPTOR,Animull,2,3,24,14273,323847,16.56%,,,,,44,,,Arraxi,0,3,21,0,243430,27.63%
45,8,VG/IG,Chuck Daly,1,2,62,2928,302425,40.13%,,,,,45,,,Temperxx,0,7,17,0,235783,22.37%
46,2,FLAIL,DudeSavant,0,1,84,87640,208198,53.50%,,,,,46,,,deep inside,0,6,8,0,221205,10.53%
47,4,HEALS,ur fine,2,1,22,368455,160603,15.29%,,,,,47,,,Slayer,0,2,12,0,206659,15.79%
48,8,DISRUPTOR,Zooob,2,3,39,0,223098,26.11%,,,,,48,,,Mors Celeri,0,3,31,9573,176646,40.79%
49,10,DISRUPTOR,ION RUN IT,2,2,21,0,196971,14.65%,,,,,49,,,PEakinGDdUK2112,2,5,4,0,134095,7.89%
50,1,TANK,CP Money,1,1,78,0,116064,50.32%,,,,,50,,,Scheep,0,1,32,0,92248,42.11%
