Rank,Group,Build,Player,Kills,Deaths,Assists,Healing,Damage,KP%,Defender,Attacker,Result,Full,Rank_1,Group_1,Build_1,Player_1,Kills_1,Deaths_1,Assists_1,Healing_1,Damage_1,KP%_1
1,1,HEALS,Anoula,0,1,39,2157090,118231,24.84%,OppoBon,Mercguards,win,no,1,,,Marveel,0,1,26,2447696,221730,34.21%
2,3,QDPS,NotWorkd,5,0,89,0,1002157,59.87%,,,,,2,,,Jaro,3,1,35,0,1109304,50.00%
3,4,QDPS,Anvbis,7,0,57,0,1052745,40.76%,,,,,3,,,choke me papi,3,2,28,0,1012816,40.79%
4,2,QDPS,mommi,2,4,43,0,1021048,28.66%,,,,,4,,,Akilleys III,2,2,28,0,900410,39.47%
5,8,FS/X,Only Bruiser,3,2,73,0,863572,48.41%,,,,,5,,,grippy socks,4,3,29,9925,797487,43.42%
6,5,QDPS,Buster,10,0,67,0,815863,49.04%,,,,,6,,,Voydx,3,5,18,0,738902,27.63%
7,4,BRUISER,Injury,5,3,65,2454,811121,44.59%,,,,,7,,,FireStaff OP,5,3,22,0,701702,35.53%
8,3,QDPS,JCHAP,7,1,53,0,799650,38.22%,,,,,8,,,AlfredoUnbanned,5,1,25,0,703300,39.47%
9,6,BRUISER,Not Prince,2,1,89,658,748257,57.96%,,,,,9,,,Vinicent x,4,2,18,0,680499,28.95%
10,5,BRUISER,fella in paris,6,1,77,1225,688772,52.87%,,,,,10,,,Zercules,1,1,19,0,683891,26.32%
11,3,BRUISER,Shmunkkyy,3,2,94,0,703125,61.78%,,,,,11,,,rhode,1,3,11,0,700669,15.79%
12,10,DEX,EVERYONE STEP,3,1,29,0,703767,20.38%,,,,,12,,,I miss bed,2,4,29,0,681291,40.79%
13,6,BRUISER,DAZBEE,2,1,78,109,661035,50.96%,,,,,13,,,Lobotomy Victim,1,0,11,1125561,92813,15.79%
14,1,BRUISER,Psalm 11,5,1,79,767,611847,53.50%,,,,,14,,,Underflip,0,3,12,0,613758,15.79%
15,10,DEX,x Statpad,5,0,27,0,601582,20.38%,,,,,15,,,xVoyd,2,5,23,0,687015,32.89%
16,5,BRUISER,SilverElement1,8,2,75,0,547628,52.87%,,,,,16,,,Xiaohu,3,2,28,5390,487345,40.79%
17,7,FS/X,DjSwimpyMan,2,1,31,0,580113,21.02%,,,,,17,,,Bowner Alert,2,3,12,12114,475381,18.42%
18,1,BRUISER,Derrick Rose,4,2,81,0,530502,54.14%,,,,,18,,,Jayt,2,5,13,0,480663,19.74%
19,5,HEALS,her,1,0,52,1014712,36352,33.76%,,,,,19,,,Chair Survivor,5,3,15,9951,456887,26.32%
20,4,BRUISER,HISS HISS,4,2,63,0,576561,42.68%,,,,,20,,,Valentina Starr,0,1,18,862453,35225,23.68%
21,5,QDPS,LeefRx,14,0,48,0,502086,39.49%,,,,,21,,,Dirtwire,2,7,22,0,459175,31.58%
22,6,HEALS,FALL BACK,0,1,49,942661,29479,31.21%,,,,,22,,,Kitt3n Tamer,1,5,18,0,463522,25.00%
23,6,VG/IG,Anom4ly,0,0,89,12462,462709,56.69%,,,,,23,,,Waldo,5,0,24,19590,459183,38.16%
24,2,BRUISER,Hattorii,4,4,69,620,467685,46.50%,,,,,24,,,iSuckDontHitMe,2,5,11,0,457863,17.11%
25,7,DISRUPTOR,Luna-TerraLulu,3,3,25,0,487221,17.83%,,,,,25,,,Self Inflicted,0,4,28,0,441920,36.84%
26,3,BRUISER,Guzy875,6,2,70,1589,443084,48.41%,,,,,26,,,Madmartigain,0,6,25,0,420095,32.89%
27,6,QDPS,Conval,3,0,47,0,482743,31.85%,,,,,27,,,oops I missed,2,6,16,0,414276,23.68%
28,10,DISRUPTOR,Jayce Jackson,6,0,25,0,515637,19.75%,,,,,28,,,Beaudacious,3,4,11,0,412565,18.42%
29,2,BRUISER,Yo Nature,0,5,60,0,420139,38.22%,,,,,29,,,Kirtaap,0,2,5,833156,5645,6.58%
30,9,DISRUPTOR,LeFayPendragon,2,0,29,0,426468,19.75%,,,,,30,,,Half Heavy,6,6,5,0,432126,14.47%
31,10,HEALS,submissive,0,1,11,811529,15116,7.01%,,,,,31,,,bigbrucer,1,2,3,750128,80417,5.26%
32,9,DISRUPTOR,Scorp Diff,5,1,34,0,413141,24.84%,,,,,32,,,Theraphosidae,1,0,6,752250,84624,9.21%
33,9,DISRUPTOR,Ionbuster,5,1,33,0,399487,24.20%,,,,,33,,,PoisonDealrAnya,0,2,14,715212,49743,18.42%
34,1,HEALS,TheFrontLine,0,3,44,716967,23798,28.03%,,,,,34,,,Piperjim,0,3,19,0,388476,25.00%
