Rank,Group,Build,Player,Kills,Deaths,Assists,Healing,Damage,KP%,Defender,Attacker,Result,Full,Rank_1,Group_1,Build_1,Player_1,Kills_1,Deaths_1,Assists_1,Healing_1,Damage_1,KP%_1,
42,10,DISRUPTOR,Ionbuster,6,4,31,0,686483,20.56%,,,,,42,4,HEALS,BadAtThis,1,3,43,1413985,120831,14.77%,
43,10,DEX,Popasus,6,4,21,0,687475,15.00%,,,,,43,8,DISRUPTOR,Retired Arc,5,3,83,16875,653822,29.53%,
44,9,DISRUPTOR,Luna-TerraLulu,1,6,47,19153,655425,26.67%,,,,,44,2,HEALS,cyy,0,2,58,1157754,124535,19.46%,
45,3,VG/IG,Faye Tal,1,8,92,16024,588565,51.67%,,,,,45,5,HEALS,OnOurHealer,0,0,43,1283914,40122,14.43%,
46,6,VG/IG,Continuum,0,12,70,28728,574678,38.89%,,,,,46,7,DISRUPTOR,Rvspberri,9,2,71,0,784842,26.85%,
47,5,HEALS,EZ Target,0,3,30,1037766,21504,16.67%,,,,,47,7,HEALS,Merlins Infinity,0,3,28,1043332,9354,9.40%,
48,7,DISRUPTOR,Toofs,0,11,31,34233,514523,17.22%,,,,,48,1,FLAIL,Hadessss,3,5,119,70433,424819,40.94%,
49,8,DISRUPTOR,Briizyn,0,8,48,0,398068,26.67%,,,,,49,9,DISRUPTOR,B cupz,2,2,59,0,358732,20.47%,
50,1,TANK,CP Money,2,2,84,0,403766,47.78%,,,,,50,2,TANK,BUTTER ON POINT,3,3,111,0,230250,38.26%,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
