Rank,Group,Build,Player,Kills,Deaths,Assists,Healing,Damage,KP %,Defender,Attacker,Result,Full
1,1,HEALS,Anoula,1,0,110,5418493,343418,33.13%,Mercguards,K6,win,yes
2,3,QDPS,Pepega69,6,0,160,0,2330635,49.55%,,,,
3,6,BRUISER,Sweezy,22,1,184,1342,2167621,61.49%,,,,
4,6,BRUISER,Grassy,16,2,178,0,1990189,57.91%,,,,
5,3,BRUISER,Psalm 11,14,0,151,1164,1990995,49.25%,,,,
6,1,BRUISER,Me99999,13,2,144,257,1971816,46.87%,,,,
7,5,BRUISER,Bar God,4,4,130,1342,1845051,40.00%,,,,
8,2,BRUISER,iFord,7,5,140,7998,1760606,43.88%,,,,
9,2,BRUISER,Brando,10,1,159,0,1748067,50.45%,,,,
10,4,BRUISER,throat bruiser,9,4,148,1435,1730988,46.87%,,,,
11,9,DISRUPTOR,MAMAMELO,22,1,113,0,1702468,40.30%,,,,
12,5,QDPS,mommi,7,3,64,0,1705900,21.19%,,,,
13,8,FS/X,DjSwimpyMan,7,2,185,0,1643497,57.31%,,,,
14,4,BRUISER,Shield Rush,9,2,156,0,1547738,49.25%,,,,
15,2,DEX,Kheer is my son,23,0,129,0,1392187,45.37%,,,,
16,3,HEALS,SweetFeetGriffin,0,1,74,2654731,69441,22.09%,,,,
17,2,VG/IG,Not Beau Nerrs,8,1,167,49261,1328991,52.24%,,,,
18,4,QDPS,TaintyApe,2,2,150,0,1334650,45.37%,,,,
19,3,BRUISER,SilverElement1,7,6,120,4055,1319230,37.91%,,,,
20,5,BRUISER,Moneyyyy,3,5,121,2653,1325544,37.01%,,,,
21,9,DISRUPTOR,Stun Bot,14,2,120,19627,1235975,40.00%,,,,
22,8,DISRUPTOR,Zooob,16,2,111,17874,1149713,37.91%,,,,
23,10,DISRUPTOR,Aldrak,15,5,71,0,1077776,25.67%,,,,
24,8,VG/IG,An0maly,14,0,141,25321,1087776,46.27%,,,,
25,2,HEALS,unit 00,0,2,97,1812131,115615,28.96%,,,,
26,7,DEX,Simp4Heals,7,1,93,0,1006783,29.85%,,,,
27,10,DEX,Ariii,11,1,87,0,949858,29.25%,,,,
28,5,HEALS,Ex2c,0,1,92,1504512,193937,27.46%,,,,
29,10,DEX,Popasus,6,0,73,0,928866,23.58%,,,,
30,3,QDPS,Bis Black Guy,6,4,74,0,919860,23.88%,,,,
31,5,DISRUPTOR,Lady Miso,2,4,139,7167,890214,42.09%,,,,
32,4,HEALS,TheFrontLine,0,1,76,1611007,69624,22.69%,,,,
33,6,VG/IG,VG IG,1,1,194,12814,769067,58.21%,,,,
34,9,DISRUPTOR,Luna-TerraLulu,3,0,116,0,791170,35.52%,,,,
35,7,VG/IG,II DEMON II,3,2,104,14059,774013,31.94%,,,,
36,6,HEALS,Ellwing,0,1,90,1396974,95921,26.87%,,,,
37,1,HEALS,Panda212,1,0,103,1302833,107064,31.04%,,,,
38,8,DISRUPTOR,Briizyn,10,2,102,0,742606,33.43%,,,,
39,8,HEALS,Bweezin,0,2,71,1321832,71532,21.19%,,,,
40,7,HEALS,NickyUwU,0,5,14,1506768,6321,4.18%,,,,
41,7,DISRUPTOR,whayousayy,4,4,41,0,731672,13.43%,,,,
42,10,DISRUPTOR,OfSeamlezz,9,5,67,0,704644,22.69%,,,,
43,9,DISRUPTOR,Retired Arc,13,4,103,0,662267,34.63%,,,,
44,7,DISRUPTOR,EvilArisen 2.0,6,3,64,0,645181,20.90%,,,,
45,9,HEALS,x stats,0,0,46,1202991,37051,13.73%,,,,
46,4,VG/IG,Faye Tal,0,4,144,20523,576238,42.99%,,,,
47,7,DISRUPTOR,Animull,2,5,44,10610,588060,13.73%,,,,
48,10,HEALS,Im His Guac,2,2,24,811760,19049,7.76%,,,,
49,1,FLAIL,TheActualBobRoss,0,1,172,30893,297535,51.34%,,,,
50,1,Tank,Console Bot,0,2,167,405,124050,49.85%,,,,
