Rank,Group,Build,Player,Kills,Deaths,Assists,Healing,Damage,KP%,Defender,Attacker,Result,Full,Rank_1,Group_1,Build_1,Player_1,Kills_1,Deaths_1,Assists_1,Healing_1,Damage_1,KP%_1
1,1,HEALS,Anoula,0,0,85,7864075,308276,32.20%,Mercguards,BH,loss,yes,1,,,Wilmeister,0,3,56,8542156,450691,41.48%
2,4,QDPS,NotWorkd,16,0,176,0,3864863,72.73%,,,,,2,,,Saoibhe,5,2,65,0,2646554,51.85%
3,8,FS/X,mommi,8,1,167,0,3256672,66.29%,,,,,3,,,Fresh Start,5,5,69,0,2590902,54.81%
4,5,QDPS,Velkhana'sSummer,7,3,119,8293,3002652,47.73%,,,,,4,,,Drytron,5,3,79,0,2415130,62.22%
5,4,QDPS,JCHAP,19,2,116,0,2819367,51.14%,,,,,5,,,SoFreshSonu,8,2,66,0,2281638,54.81%
6,5,QDPS,Only Bruiser,8,2,132,0,2656067,53.03%,,,,,6,,,Earth Go Hard,0,3,36,3887465,82615,26.67%
7,2,QDPS,Buster,22,0,128,1029,2620017,56.82%,,,,,7,,,Dynodoug,8,6,67,0,1977535,55.56%
8,9,DEX,Injury,22,0,124,0,2557519,55.30%,,,,,8,,,KevDog,4,2,89,0,1872189,68.89%
9,7,FS/X,ION RUN IT,12,3,84,0,2383328,36.36%,,,,,9,,,ConsoleBowFan,2,5,70,0,1860327,53.33%
10,6,BRUISER,fella in paris,10,2,137,0,1920755,55.68%,,,,,10,,,Drunkules,8,1,61,0,1823306,51.11%
11,6,HEALS,her,0,0,99,3443551,194385,37.50%,,,,,11,,,Xedalis,7,4,72,0,1769642,58.52%
12,4,BRUISER,Not Prince,3,5,124,704,1821997,48.11%,,,,,12,,,Playoff Pendy,3,8,70,0,1774213,54.07%
13,1,BRUISER,Cali Mae,5,4,148,3291,1795228,57.95%,,,,,13,,,LeefRx,15,4,44,0,1723200,43.70%
14,2,BRUISER,Yo Nature,3,5,110,2825,1705559,42.80%,,,,,14,,,Senior,3,7,74,0,1686581,57.04%
15,6,QDPS,Spongy,22,1,88,0,1663006,41.67%,,,,,15,,,Grav N Spins,5,3,74,0,1654926,58.52%
16,6,BRUISER,UNLUCKY,9,3,130,2578,1607680,52.65%,,,,,16,,,cyy,0,4,39,2996539,116661,28.89%
17,5,BRUISER,Shmunkkyy,5,8,125,2149,1492692,49.24%,,,,,17,,,Wiggles,6,9,71,0,1557813,57.04%
18,4,BRUISER,DAZBEE,3,6,125,0,1485948,48.48%,,,,,18,,,GUAO,7,9,30,0,1508557,27.41%
19,3,DISRUPTOR,xBooGeY,7,3,87,16845,1483130,35.61%,,,,,19,,,Ser Duoglas,2,5,52,0,1496000,40.00%
20,4,HEALS,Guzy875,1,0,64,2847379,87464,24.62%,,,,,20,,,pegame,0,0,43,2909513,44399,31.85%
21,10,DISRUPTOR,LeFayPendragon,8,0,98,0,1464038,40.15%,,,,,21,,,Tucker,5,3,62,0,1466914,49.63%
22,2,HEALS,DreamuTeamu,0,0,70,2759722,98983,26.52%,,,,,22,,,Nizzo,4,5,75,0,1456252,58.52%
23,3,BRUISER,Psalm 11,2,4,107,1983,1450260,41.29%,,,,,23,,,jino,5,8,71,0,1447430,56.30%
24,5,BRUISER,HISS HISS,7,5,96,107,1333298,39.02%,,,,,24,,,OhMyGourd,2,8,63,0,1436586,48.15%
25,3,BRUISER,SilverElement1,4,6,122,1310,1323373,47.73%,,,,,25,,,FreezingMyAzoth,1,9,59,27633,1416809,44.44%
26,3,HEALS,dead weight,1,2,76,2500189,94104,29.17%,,,,,26,,,Kirtaap,0,0,23,2521216,14026,17.04%
27,6,VG/IG,Pradix,4,1,150,41772,1150546,58.33%,,,,,27,,,Aljo,4,4,48,0,1242201,38.52%
28,2,BRUISER,Hahttorii,5,8,113,0,1141731,44.70%,,,,,28,,,Ellarya Starr,0,0,40,2316547,89185,29.63%
29,7,HEALS,x stats,0,3,32,2048296,47848,12.12%,,,,,29,,,On Me Here,0,1,40,2206980,72012,29.63%
30,10,DEX,Conval,7,0,95,0,1021640,38.64%,,,,,30,,,Ho Chee Minh,0,6,78,54109,989205,57.78%
31,8,HEALS,Im His Guac,1,1,63,1803399,159274,24.24%,,,,,31,,,Il DEMON Il,1,5,82,80237,931776,61.48%
32,5,HEALS,Ellwing,0,0,74,1748514,83705,28.03%,,,,,32,,,Merlins Infinity,0,0,7,2015333,2324,5.19%
33,8,VG/IG,Anom4ly,3,4,121,32228,823172,46.97%,,,,,33,,,On Jehova,1,12,55,0,948733,41.48%
34,1,HEALS,Plucky,0,0,77,1621694,57787,29.17%,,,,,34,,,ImpactVolts,0,3,16,1831194,48928,11.85%
