Rank,Group,Build,Player,Kills,Deaths,Assists,Healing,Damage,KP %,Defender,Attacker,Result,Full
1,1,HEALS,Anoula,0,0,37,2015017,56658,20.00%,Ayooooo,Mercguards,win,No
2,6,QDPS,Velkhana'sSummer,10,2,68,0,922591,42.16%,,,,
3,8,FS/X,DjSwimpyMan,3,0,101,0,608510,56.22%,,,,
4,1,BRUISER,TheActualBobRoss,8,1,89,0,556512,52.43%,,,,
5,4,QDPS,Pocahontlts,4,1,63,0,532811,36.22%,,,,
6,2,,Become Bear,8,2,59,0,512298,36.22%,,,,
7,5,QDPS,eeEkong,8,1,62,0,506780,37.84%,,,,
8,9,DEX,Draconix,7,0,64,0,484922,38.38%,,,,
9,10,DEX,Ariii,9,0,42,0,456994,27.57%,,,,
10,3,QDPS,TaintyApe,3,1,85,0,448060,47.57%,,,,
11,4,HEALS,SweetFeetGriffn,0,1,33,876884,17977,17.84%,,,,
12,4,BRUISER,Raxios,5,1,62,0,424824,36.22%,,,,
13,9,DISRUPTOR,Luna-TerraLulu,5,0,59,0,416425,34.59%,,,,
14,2,,LeFayPendragon,8,0,54,0,382457,33.51%,,,,
15,6,BRUISER,SilverElement1,9,2,70,0,363323,42.70%,,,,
16,3,BRUISER,SmileyBill,3,0,86,0,349955,48.11%,,,,
17,10,,GPorp,8,0,45,0,346680,28.65%,,,,
18,2,BRUISER,Hahttorii,7,2,75,0,317349,44.32%,,,,
19,6,HEALS,Ellwing,0,1,28,660324,14392,15.14%,,,,
20,6,BRUISER,Yo Nature,2,5,58,0,323296,32.43%,,,,
21,5,BRUISER,Moneyyyyy,6,2,57,0,281351,34.05%,,,,
22,3,QDPS,Primey1,7,0,44,0,276653,27.57%,,,,
23,7,,Reported Guy,7,0,30,0,283340,20.00%,,,,
24,2,DISRUPTOR,Lady Miso,1,0,92,509,265285,50.27%,,,,
25,3,,Gintani,11,2,34,0,461973,24.32%,,,,
26,5,HEALS,EnchantingFlame,1,0,34,52954,17458,18.92%,,,,
27,8,VG/IG,An0maly,3,1,63,0,255983,35.68%,,,,
28,8,HEALS,pegame,0,1,42,452238,36877,22.70%,,,,
29,7,DISRUPTOR,EvilArisen 2.0,5,1,46,0,248459,27.57%,,,,
30,10,DISRUPTOR,OfSeamlezz,5,2,39,0,240929,23.78%,,,,
31,3,HEALS,BlessYourHeart,0,0,44,423481,30207,23.78%,,,,
32,10,DISRUPTOR,Aldrak,1,2,48,0,235567,26.49%,,,,
33,2,HEALS,Plucky,0,0,29,444052,22563,15.68%,,,,
34,1,HEALS,Panda212,0,1,32,444215,20962,17.30%,,,,
35,8,DISRUPTOR,Zooob,4,2,31,1055,229081,18.92%,,,,
36,5,VG/IG,Kryee,5,0,84,0,197537,48.11%,,,,
37,4,BRUISER,LeboGaming,2,4,58,0,218024,32.43%,,,,
38,8,DISRUPTOR,Briizyn,7,1,29,0,273014,19.46%,,,,
39,6,VG/IG,VG IG,1,3,76,14540,195342,41.62%,,,,
40,4,VG/IG,Faye Tal,1,1,71,12978,197226,38.92%,,,,
41,7,HEALS,EZ Target,0,1,10,461350,4388,5.41%,,,,
42,10,HEALS,NickyUwU,0,0,23,435703,6746,12.43%,,,,
43,7,DISRUPTOR,PocketJacks,2,1,35,2800,208283,20.00%,,,,
44,9,DISRUPTOR,Greasiee,1,1,50,0,179879,27.57%,,,,
45,5,VG/IG,Owndit,1,1,85,7001,158526,46.49%,,,,
46,9,HEALS,x stats,0,0,21,360720,9497,11.35%,,,,
47,7,DISRUPTOR,whayousayy,3,2,41,0,147412,23.78%,,,,
48,1,VG/IG,Dimothy,2,1,68,48428,93140,37.84%,,,,
49,9,DISRUPTOR,TheAwesomest,2,2,39,0,120315,22.16%,,,,
50,1,TANK,CPH Money,0,0,95,0,86808,51.35%,,,,
