Rank,Group,Build,Player,Kills,Deaths,Assists,Healing,Damage,KP%,Defender,Attacker,Result,Full,Rank_1,Group_1,Build_1,Player_1,Kills_1,Deaths_1,Assists_1,Healing_1,Damage_1,KP%_1
1,1,HEALS,Pocket Mercy,0,1,112,6772671,484524,43.41%,Mercguards,OppoBon,win,yes,1,3,QDPS,Ekong,14,1,99,0,5259348,73.38%
2,7,QDPS,Anvbis,9,4,133,5519,2870845,55.04%,,,,,2,1,HEALS,any ping,0,0,64,7111975,668126,41.56%
3,5,QDPS,EVERYONE STEP,14,4,136,0,2794329,58.14%,,,,,3,7,FIRESTAFF,choke me papi,9,2,76,0,3727032,55.19%
4,6,QDPS,Only Bruiser,5,3,141,0,2678341,56.59%,,,,,4,8,FIRESTAFF,Akilleys III,3,0,87,0,2871955,58.44%
5,8,FS/X,mommi,4,4,118,0,2556561,47.29%,,,,,5,5,QDPS,FireStaff OP,7,6,82,0,2419539,57.79%
6,4,QDPS,x Statpad,6,1,171,0,2409315,68.60%,,,,,6,3,QDPS,goblin barrel,13,1,68,0,2379546,52.60%
7,2,QDPS,Injury,18,3,115,0,2206251,51.55%,,,,,7,6,QDPS,nyorded,8,2,57,0,2460181,42.21%
8,5,BRUISER,UNLUCKY,5,5,126,0,2088052,50.78%,,,,,8,2,QDPS,Reported Guy,22,0,62,0,2317508,54.55%
9,2,BRUISER,X AE SR-71,5,3,136,0,2028630,54.65%,,,,,9,9,HEALS,Kirtaap,0,1,23,3647557,14508,14.94%
10,9,QDPS,Girl Healer,13,0,117,0,1932905,50.39%,,,,,10,5,VG/IG,grippy socks,4,2,98,54960,1788250,66.23%
11,3,BRUISER,Instant Respawns,2,4,133,0,1921560,52.33%,,,,,11,1,HEALS,Earth Go Hard,0,0,41,3199852,88538,26.62%
12,5,QDPS,beta,10,1,102,0,1902033,43.41%,,,,,12,1,BRUISER,Rupp3rt,4,10,71,4858,1597378,48.70%
13,4,HEALS,Guzy875,0,1,46,3567255,49881,17.83%,,,,,13,4,BRUISER,shmook,2,10,49,1678,1694929,33.12%
14,5,BRUISER,Totally Not DRE,6,4,124,0,1742311,50.39%,,,,,14,2,BRUISER,CherieFanClub,4,6,76,1502,1578686,51.95%
15,4,BRUISER,DAZBEE,9,3,142,0,1685898,58.53%,,,,,15,5,HEALS,pegame,0,1,44,3026779,54660,28.57%
16,6,BRUISER,fella in paris,9,1,147,0,1573843,60.47%,,,,,16,6,QDPS,iSuckDontHitMe,4,3,44,0,1540236,31.17%
17,10,DEX,Recurve,6,0,92,0,1608036,37.98%,,,,,17,6,BRUISER,BADASS,2,9,60,1416,1590105,40.26%
