Rank,Group,Build,Player,Kills,Deaths,Assists,Healing,Damage,KP %,Defender,Attacker,Result,Full
1,1,HEALS,Anoula,0,0,103,"7,178,493","213,341.00",26.01%,Mercguards,K6,win,yes
2,2,QDPS,Papi Fuego,14,4,160,0,"2,163,389.00",43.94%,,,,yes
3,6,QDPS,Fe7on,9,2,124,0,"2,068,106.00",33.59%,,,,yes
4,3,QDPS,ZaddySimpy,10,2,176,0,"1,905,190.00",46.97%,,,,yes
5,3,BRUISER,Psalm 11,11,2,160,317,"1,795,058.00",43.18%,,,,yes
6,4,BRUISER,TunaReformed,20,6,158,597,"1,749,618.00",44.95%,,,,yes
7,2,QDPS,OldManGamin,19,5,124,0,"1,699,344.00",36.11%,,,,yes
8,5,BRUISER,hannsszz,10,3,186,"2,482","1,651,343.00",49.49%,,,,yes
9,2,BRUISER,Brando,8,4,153,0,"1,549,453.00",40.66%,,,,yes
10,6,QDPS,Cheapo,11,5,93,217,"1,569,427.00",26.26%,,,,yes
11,10,DEX,Recurve,19,1,100,0,"1,521,215.00",30.05%,,,,yes
12,3,HEALS,TheFrontLine,0,1,91,"2,777,184","119,994.00",22.98%,,,,yes
13,1,BRUISER,JeiPee,8,8,145,752,"1,442,795.00",38.64%,,,,yes
14,4,BRUISER,SilverElement1,10,7,150,308,"1,401,192.00",40.40%,,,,yes
15,10,DEX,Ariii,14,0,94,0,"1,387,856.00",27.27%,,,,yes
16,6,BRUISER,Shield Rush,12,2,198,0,"1,396,329.00",53.03%,,,,yes
17,6,HEALS,SweetFeetGriffn,0,2,93,"2,617,860","100,268.00",23.48%,,,,yes
18,5,BRUISER,whayousayy,8,7,155,712,"1,270,417.00",41.16%,,,,yes
19,8,DISRUPTOR,Lady Miso,7,5,143,0,"1,215,223.00",37.88%,,,,yes
20,7,DISRUPTOR,EvilArisen 2.0,19,7,108,0,"1,186,886.00",32.07%,,,,yes
21,6,BRUISER,Is ThatBeauNerrs,8,6,154,0,"1,176,407.00",40.91%,,,,yes
22,2,BRUISER,Hahttorii,11,7,141,"4,125","1,170,208.00",38.38%,,,,yes
23,4,VG/IG,Simp4Heals,5,4,155,"23,251","1,089,071.00",40.40%,,,,yes
24,8,DISRUPTOR,Zooob,10,6,103,"24,649","1,176,915.00",28.54%,,,,yes
25,5,HEALS,unit 00,0,0,88,"2,179,211","71,758.00",22.22%,,,,yes
26,7,DEX,Primey1,17,5,74,0,"1,092,236.00",22.98%,,,,yes
27,3,BRUISER,Yo Nature,7,6,150,0,"1,080,116.00",39.65%,,,,yes
28,10,DISRUPTOR,bunny,21,3,73,0,"1,070,188.00",23.74%,,,,yes
29,1,HEALS,Panda212,1,1,99,"1,914,318","127,011.00",25.25%,,,,yes
30,9,DISRUPTOR,Luna-TerraLulu,9,3,115,0,"1,042,692.00",31.31%,,,,yes
31,8,HEALS,Bweezin,0,3,83,"1,958,438","152,835.00",20.96%,,,,yes
32,7,DISRUPTOR,Ikxhrus,10,0,128,0,"1,008,729.00",34.85%,,,,yes
33,5,VG/IG,VG IG,6,4,209,"22,518","944,297.00",54.29%,,,,yes
34,7,VG/IG,Jitch,12,5,123,"18,731","1,001,845.00",34.09%,,,,yes
35,9,HEALS,Sassafras,0,2,72,"1,924,631","50,879.00",18.18%,,,,yes
36,9,DISRUPTOR,Bic'd,13,3,135,"26,190","930,301.00",37.37%,,,,yes
37,2,HEALS,Plucky,1,0,111,"1,637,516","111,493.00",28.28%,,,,yes
38,5,QDPS,InfinityCrystal,6,10,100,0,"942,007.00",26.77%,,,,yes
39,7,HEALS,uShouldCallHer,0,0,61,"1,743,016","43,535.00",15.40%,,,,yes
40,4,HEALS,Ellwing,0,2,72,"1,693,724","54,629.00",18.18%,,,,yes
41,4,QDPS,SobaNoodles,7,5,109,0,"861,999.00",29.29%,,,,yes
42,8,VG/IG,Anomaly,4,3,158,"36,423","758,778.00",40.91%,,,,yes
43,9,VG/IG,Kryee,7,4,153,"21,293","742,086.00",40.40%,,,,yes
44,10,DISRUPTOR,Draconic,12,6,81,0,"837,851.00",23.48%,,,,yes
45,9,DISRUPTOR,Helga Longbottum,9,7,91,"29,219","656,233.00",25.25%,,,,yes
46,3,VG/IG,Arya Inyet,4,5,170,"15,128","573,493.00",43.94%,,,,yes
47,10,HEALS,Hazy,0,3,32,"1,263,756","47,435.00",8.08%,,,,yes
48,8,DISRUPTOR,prim locked,4,5,97,0,"526,149.00",25.51%,,,,yes
49,1,TANK,CPMoney,0,1,215,"1,079","408,325.00",54.29%,,,,yes
50,1,FLAIL,TheActualBobRoss,3,4,178,"28,071","397,491.00",45.71%,,,,yes
