Rank,Group,Build,Player,Kills,Deaths,Assists,Healing,Damage,KP %,Defender,Attacker,Result,Full
1,1,HEALS,Anoula,1,2,93,5765980,341586,34.69%,Mercguards,K6,win,yes
2,5,QDPS,Velkhana'sSummer,13,3,123,0,2778153,50.18%,,,,
3,3,QDPS,Reported Guy,21,1,103,0,2155723,45.76%,,,,
4,3,QDPS,Bronislav Pavlo,12,6,98,700,1960516,40.59%,,,,
5,2,QDPS,Pepega69,7,1,134,0,1941619,52.03%,,,,
6,8,FS/X,DjSwimpyMan,7,5,126,0,1883279,49.08%,,,,
7,4,QDPS,Tyreeek,7,2,125,0,1828758,48.71%,,,,
8,2,BRUISER,Who Dat Be,13,1,133,0,1786526,53.87%,,,,
9,3,BRUISER,Sweezy,6,4,102,971,1814614,39.85%,,,,
10,4,BRUISER,TheActualBobRoss,5,4,130,37,1754081,49.82%,,,,
11,1,BRUISER,Me99999,7,3,131,1949,1643338,50.92%,,,,
12,2,BRUISER,Brando,12,3,144,1782,1580709,57.56%,,,,
13,6,BRUISER,Shield Rush,11,2,138,800,1535560,54.98%,,,,
14,3,QDPS,eeEkong,24,5,95,0,1523988,43.91%,,,,
15,5,BRUISER,Psalm 11,9,5,97,1192,1545083,39.11%,,,,
16,5,BRUISER,Bar God,1,5,108,1993,1550094,40.22%,,,,
17,6,BRUISER,Moneyyyyy,1,2,150,0,1283063,55.72%,,,,
18,8,VG/IG,An0maly,5,3,112,35115,1263178,43.17%,,,,
19,1,BRUISER,iFord,5,5,133,0,1270475,50.92%,,,,
20,10,DEX,Ariii,9,1,70,0,1234536,29.15%,,,,
21,6,QDPS,rhode,7,7,55,513,1242991,22.88%,,,,
22,10,DEX,Popasus,9,2,57,0,1166391,24.35%,,,,
23,9,DEX,Adam is my name,9,1,88,0,1114446,35.79%,,,,
24,2,VG/IG,Not Beau Nerrs,4,2,141,17410,1147217,53.51%,,,,
25,4,BRUISER,Yo Nature,4,8,94,696,1096545,36.16%,,,,
26,8,DISRUPTOR,Zooob,6,5,92,21066,1080977,36.16%,,,,
27,5,HEALS,AllMadd52,0,4,66,1962670,100230,24.35%,,,,
28,7,DISRUPTOR,I LOVE PVE,5,3,74,0,1016255,29.15%,,,,
29,4,HEALS,FALL BACK,0,1,88,1914842,62410,32.47%,,,,
30,3,HEALS,Ellwing,0,4,58,1871607,84652,21.40%,,,,
31,10,DISRUPTOR,Aldrak,5,4,40,0,946318,16.61%,,,,
32,7,VG/IG,Dynastinae,6,4,80,9667,898023,31.73%,,,,
33,7,DISRUPTOR,whayousayy,7,7,47,0,880396,19.93%,,,,
34,9,DISRUPTOR,Retired Arc,9,4,73,226,902457,30.26%,,,,
35,6,DISRUPTOR,Lady Miso,1,2,136,4087,821762,50.55%,,,,
36,9,DISRUPTOR,Luna-TerraLulu,7,7,57,0,832440,23.62%,,,,
37,7,DISRUPTOR,Animull,2,4,43,28117,820519,16.61%,,,,
38,5,VG/IG,Owndit,1,9,116,17133,774897,43.17%,,,,
39,9,HEALS,x stats,0,3,44,1546276,47224,16.24%,,,,
40,6,HEALS,Ramparts,1,2,90,1270709,143597,33.58%,,,,
41,8,HEALS,Bweezin,1,6,30,1528565,40507,11.44%,,,,
42,2,HEALS,Plucky,0,2,73,1448953,42884,26.94%,,,,
43,10,DISRUPTOR,OfSeamlezz,6,3,36,0,686904,15.50%,,,,
44,7,HEALS,EZ Target,0,10,24,1246160,35805,8.86%,,,,
45,8,DISRUPTOR,Briizyn,2,2,102,0,635459,38.38%,,,,
46,4,VG/IG,Faye Tal,0,4,132,138806,525465,48.71%,,,,
47,1,HEALS,Panda212,0,4,57,1150397,47924,21.03%,,,,
48,9,DISRUPTOR,TheAwesomest,3,8,56,0,513149,21.77%,,,,
49,4,HEALS,Im His Guac,0,3,25,972685,15412,9.23%,,,,
50,1,TANK,CP Money,0,0,155,97,249764,57.20%,,,,
