Rank,Group,Build,Player,Kills,Deaths,Assists,Healing,Damage,KP %,Defender,Attacker,Result,Full
1,6,CW,Velkhana'sSummer,12,1,108,835,3723949,48.78%,Mercguards,K6,win,yes
2,1,HEALS,Anoula,0,0,59,6892102,236299,23.98%,,,,
3,8,FS/X,ZaddySimpy,5,2,119,0,2015715,50.41%,,,,
4,4,FS/X,Tyreeek,5,0,104,0,1873613,44.31%,,,,
5,1,BRUISER,Me99999,10,3,89,1558,1767506,40.24%,,,,
6,6,BRUISER,GrassyKnollTV,6,1,105,101,1721287,45.12%,,,,
7,4,BRUISER,Psalm 11,7,2,105,1038,1605847,45.53%,,,,
8,5,FS/X,Pepega69,8,1,82,0,1612382,36.59%,,,,
9,4,BRUISER,TheActualBobRoss,8,2,110,157,1593574,47.97%,,,,
10,6,BRUISER,Primus Framming,4,1,114,520,1593774,47.97%,,,,
11,3,BRUISER,Moneyyyy,9,3,97,316,1576068,43.09%,,,,
12,2,BRUISER,Brando,7,2,93,0,1579245,40.65%,,,,
13,5,HEALS,unit 00,0,1,55,2885783,99294,22.36%,,,,
14,5,BRUISER,SilverElement1,7,6,85,702,1467873,37.40%,,,,
15,3,QDPS,TaintyApe,11,2,64,0,1409984,30.49%,,,,
16,10,FS/X,GPorp,12,0,76,0,1385301,35.77%,,,,
17,5,BRUISER,Yo Nature,7,3,87,999,1350721,38.21%,,,,
18,10,DEX,Ariii,13,2,58,0,1318787,28.86%,,,,
19,3,BRUISER,Shield Rush,7,4,88,925,1308140,38.62%,,,,
20,4,HEALS,TheFrontLine,0,0,55,2357096,64895,22.36%,,,,
21,5,VG/IG,FreezingMyAzoth,1,0,109,14151,1177193,44.72%,,,,
22,9,DISRUPTOR,Luna-TerraLulu,10,3,59,0,1170806,28.05%,,,,
23,8,DISRUPTOR,Zooob,11,3,61,0,1157235,29.27%,,,,
24,2,QDPS,Primey1,12,2,62,0,1142718,30.08%,,,,
25,2,VG/IG,II DEMON II,1,3,101,34993,1102741,41.46%,,,,
26,3,QDPS,Kheer is my son,9,0,53,0,1092969,25.20%,,,,
27,8,VG/IG,An0maly,2,1,101,19555,1026309,41.87%,,,,
28,2,BRUISER,Castle of ill,5,2,96,289,1002686,41.06%,,,,
29,3,HEALS,dead weight,0,3,54,1777289,130889,21.95%,,,,
30,6,HEALS,Ellwing,0,0,54,1885939,72691,21.95%,,,,
31,10,DISRUPTOR,OfSeamlezz,8,2,69,0,913611,31.30%,,,,
32,8,HEALS,FALL BACK,0,0,40,1784173,44894,16.26%,,,,
33,10,DISRUPTOR,Aldrak,8,3,61,0,828523,28.05%,,,,
34,10,HEALS,GIRL,0,0,31,1581695,46950,12.60%,,,,
35,9,DISRUPTOR,Retired Arc,10,4,53,0,789436,25.61%,,,,
36,7,HEALS,Melokore,1,8,16,1605894,21349,6.91%,,,,
37,9,HEALS,x stats,0,3,28,1564435,37183,11.38%,,,,
38,1,HEALS,Panda212,0,0,47,1458103,59002,19.11%,,,,
39,2,HEALS,Plucky,0,1,49,1461350,53700,19.92%,,,,
40,8,DISRUPTOR,Briizyn,5,2,75,0,777985,32.52%,,,,
41,4,VG/IG,Faye Tal,0,0,121,168823,628001,49.19%,,,,
42,7,DISRUPTOR,Animull,6,7,40,13069,731196,18.70%,,,,
43,6,VG/IG,Not Beau Nerrs,2,1,112,15273,702386,46.34%,,,,
44,9,VG/IG,Kryee,1,4,79,9841,681014,32.52%,,,,
45,7,DISRUPTOR,whayousayy,5,9,29,0,611092,13.82%,,,,
46,9,DISRUPTOR,TheAwesomest,4,8,39,0,581564,17.48%,,,,
47,7,VG/IG,Dynastinae,1,5,57,5907,543827,23.58%,,,,
48,7,DISRUPTOR,PocketJacks,5,8,40,10321,524239,18.29%,,,,
49,1,FLAIL,iFord,1,0,110,76527,400032,45.12%,,,,
50,1,TANK,CPH Money,0,0,104,484,350997,42.28%,,,,
