Rank,Group,Build,Player,Kills,Deaths,Assists,Healing,Damage,KP%,Defender,Attacker,Result,Full,Rank_1,Group_1,Build_1,Player_1,Kills_1,Deaths_1,Assists_1,Healing_1,Damage_1,KP%_1
1,1,HEALS,dead weight,1,4,42,2511162,249670,22.99%,Oppo Bon,Mercguards,win,no,1,,,Marveel,0,1,29,3258717,214147,32.22%
2,2,QDPS,Workd,7,2,76,0,1461072,44.39%,,,,,2,,,choke me papi,5,2,45,0,1271546,55.56%
3,4,QDPS,Anvbis,1,2,68,0,1130412,36.90%,,,,,3,,,Jaro,2,3,32,0,975502,37.78%
4,6,QDPS,mommi,7,1,99,0,1065906,56.68%,,,,,4,,,Akilleys III,2,6,25,0,1030884,30.00%
5,2,BRUISER,Psalm 11,2,2,78,1200,927583,42.78%,,,,,5,,,grippy socks,2,1,45,23234,931375,52.22%
6,5,BRUISER,Not DRE,4,2,77,0,837022,43.32%,,,,,6,,,Rupp3rt,2,3,29,0,822650,34.44%
7,6,BRUISER,Not Prince,2,2,102,0,818419,55.61%,,,,,7,,,Voydx,3,8,19,3415,785768,24.44%
8,4,QDPS,ebarbs,15,3,58,0,813237,39.04%,,,,,8,,,rhode,2,6,18,0,795769,22.22%
9,8,FS/X,DjSwimpyMan,6,1,93,0,771165,52.94%,,,,,9,,,Wendys FourFor4,5,3,37,0,776932,46.67%
10,4,BRUISER,TheActualBobRoss,9,3,71,0,792901,42.78%,,,,,10,,,oops I missed,2,4,22,0,752433,26.67%
11,3,DISRUPTOR,Buster,10,1,40,0,764816,26.74%,,,,,11,,,xVoyd,2,6,31,0,664823,36.67%
12,6,HEALS,Guzy875,0,0,48,1411519,40725,25.67%,,,,,12,,,Kitt3n Tamer,2,6,19,473,634206,23.33%
13,3,QDPS,Ekong,8,0,74,0,744965,43.85%,,,,,13,,,FOR70YEARS,1,6,16,1381,626095,18.89%
14,9,DISRUPTOR,Scorpion Diff,7,2,48,0,661779,29.41%,,,,,14,,,manifest dread,3,4,33,0,585790,40.00%
15,2,BRUISER,Hahttori,5,3,71,1477,618152,40.64%,,,,,15,,,BMookster,2,3,31,0,560637,36.67%
16,1,QDPS,LeefRx,9,1,56,0,602124,34.76%,,,,,16,,,HesDigginInMe,0,5,25,80,552542,27.78%
17,4,HEALS,FALL BACK,0,1,64,1146921,35153,34.22%,,,,,17,,,Jayt,2,6,26,0,527188,31.11%
18,5,BRUISER,Bar God,2,5,63,245,603306,34.76%,,,,,18,,,Chair Survivor,7,3,17,18665,491075,26.67%
19,6,BRUISER,DAZBEE,2,1,92,207,596779,50.27%,,,,,19,,,Bolrym2,4,7,20,0,493899,26.67%
20,9,DISRUPTOR,Killa Farmer,13,0,54,5305,614616,35.83%,,,,,20,,,AhMyGourd,2,4,35,0,478448,41.11%
21,6,VG/IG,Anom4ly,5,2,92,19621,515926,51.87%,,,,,21,,,Beaudacious,6,4,18,0,470329,26.67%
22,1,BRUISER,iFord,0,5,58,0,550239,31.02%,,,,,22,,,II DEMON II,1,1,41,6639,446369,46.67%
23,10,DEX,Injury,5,1,70,0,518815,40.11%,,,,,23,,,Underflip,3,3,24,0,428885,30.00%
24,4,BRUISER,e4spartanTTV,1,3,83,2835,507809,44.92%,,,,,24,,,Xiaohu,0,9,15,3509,443952,16.67%
25,5,QDPS,BONGYS,4,1,53,4378,493305,30.48%,,,,,25,,,Harlynn,0,3,20,773392,44512,22.22%
26,8,DISRUPTOR,HISS HISS,5,1,77,214,462110,43.85%,,,,,26,,,MilkMeNow,0,4,16,728244,61351,17.78%
27,10,DISRUPTOR,Draskors Alt,8,2,44,0,456983,27.81%,,,,,27,,,Heart,0,2,10,813372,19632,11.11%
28,7,HEALS,x stats,0,2,17,894379,16085,9.09%,,,,,28,,,PoisonDealrAnya,0,1,17,764268,98125,18.89%
29,7,DISRUPTOR,Zoob,6,4,26,10307,420897,17.11%,,,,,29,,,xDougJudy,4,5,16,0,402677,22.22%
30,1,HEALS,Bweezin,1,1,44,747890,53232,24.06%,,,,,30,,,Valentina Starr,0,2,29,708219,44841,32.22%
31,10,FLAIL,beta,4,0,51,0,439041,29.41%,,,,,31,,,Yung Noodle,0,1,17,751313,43204,18.89%
32,9,FLAIL,Ionbuster,7,1,50,0,403771,30.48%,,,,,32,,,NW Degen,1,2,23,15364,376311,26.67%
33,7,VG/IG,Dynastinae,1,2,50,4154,405693,27.27%,,,,,33,,,firestaff,1,4,21,0,389703,24.44%
34,10,DISRUPTOR,Jayce Jackson,11,1,43,4473,418368,28.88%,,,,,34,,,Theraphosidae,0,1,16,719745,15048,17.78%
35,2,HEALS,DreamuTeamu,2,0,34,735682,33521,19.25%,,,,,35,,,Seamlezz,2,3,20,0,418269,24.44%
36,3,BRUISER,SilverElement1,2,2,67,0,391979,36.90%,,,,,36,,,GENETICA DIFF,7,4,19,0,363820,28.89%
