Rank,Group,Build,Player,Kills,Deaths,Assists,Healing,Damage,KP %,Defender,Attacker,Result,Full
1,3,QDPS,Velkhana'sSummer,21,7,125,0,3261013,47.71%,Mercguards,K6,win,yes
2,1,HEALS,Anoula,1,1,83,5406318,221497,27.45%,,,,
3,2,BRUISER,Who Dat Be,12,1,169,5227,1937314,59.15%,,,,
4,8,FS/X,DjSwimpyMan,6,6,91,0,1870031,31.70%,,,,
5,3,BRUISER,Bar God,10,7,137,513,1773203,48.04%,,,,
6,4,BRUISER,Injury,17,2,150,0,1730710,54.58%,,,,
7,3,BRUISER,Psalm 11,8,5,142,0,1658970,49.02%,,,,
8,6,BRUISER,Gourd,11,2,162,0,1597514,56.54%,,,,
9,5,BRUISER,Moneyyyy,11,4,155,1226,1539623,54.25%,,,,
10,1,BRUISER,TheActualBobRoss,4,7,141,883,1500392,47.39%,,,,
11,4,QDPS,x Statpad,12,4,150,0,1439113,52.94%,,,,
12,5,BRUISER,SodaC4nSam,7,7,156,2181,1359737,53.27%,,,,
13,3,QDPS,Gintani,14,3,57,0,1481093,23.20%,,,,
14,5,HEALS,Ex2c,0,1,70,2343427,75812,22.88%,,,,
15,5,QDPS,mommi,10,4,78,0,1335310,28.76%,,,,
16,8,VG/IG,Anom4ly,5,1,115,29357,1187075,39.22%,,,,
17,4,BRUISER,Shield Rush,9,7,120,568,1160171,42.16%,,,,
18,9,DEX,Adam Guns Upp,19,5,79,0,1140197,32.03%,,,,
19,6,BRUISER,Hattorii,9,5,143,3349,1123825,49.67%,,,,
20,2,HEALS,AllMadd52,0,3,64,2090119,104959,20.92%,,,,
21,1,HEALS,OnOurHealer,3,2,73,1958506,344053,24.84%,,,,
22,2,BRUISER,Yo Nature,10,10,113,3416,1066761,40.20%,,,,
23,10,DEX,Popasus,10,2,84,0,1085035,30.72%,,,,
24,6,HEALS,EZ Target,0,1,103,1841257,129373,33.66%,,,,
25,10,DISRUPTOR,OfSeamlezz,6,4,82,0,1065523,28.76%,,,,
26,6,QDPS,Not Beau Nerrs,1,7,75,0,1081690,24.84%,,,,
27,2,QDPS,Kheer is my son,14,2,89,0,1119708,33.66%,,,,
28,4,VG/IG,VG IG,2,6,134,11643,900754,44.44%,,,,
29,8,DISRUPTOR,Zoob,12,8,57,15665,1042802,22.55%,,,,
30,9,DISRUPTOR,I LOVE PVE,11,4,71,0,958939,26.80%,,,,
31,3,HEALS,TheFrontLine,0,5,54,1748703,42681,17.65%,,,,
32,7,DISRUPTOR,whayousayy,9,5,83,0,917697,30.07%,,,,
33,9,DISRUPTOR,Luna-TerraLulu,4,5,76,0,936326,26.14%,,,,
34,6,DISRUPTOR,Lady Miso,1,6,153,5299,735117,50.33%,,,,
35,10,DISRUPTOR,Ionbuster,7,3,91,1152,936885,32.03%,,,,
36,10,DISRUPTOR,Aldrak,5,7,49,0,981203,17.65%,,,,
37,2,VG/IG,Faye Tal,3,3,156,58077,748286,51.96%,,,,
38,4,HEALS,BlessYourHeart,0,6,85,1481295,92929,27.78%,,,,
39,5,VG/IG,Owndit,3,6,160,13434,871313,53.27%,,,,
40,7,DISRUPTOR,Animull,2,7,59,17128,831205,19.93%,,,,
41,7,DISRUPTOR,Spear,8,7,75,13127,701700,27.12%,,,,
42,9,DISRUPTOR,TheAwesomest,4,6,64,0,699832,22.22%,,,,
43,8,HEALS,Melokore,0,7,24,1365512,62149,7.84%,,,,
44,7,VG/IG,Dynastinae,0,8,80,6759,618159,26.14%,,,,
45,10,HEALS,Im His Guac,0,3,24,1208081,74945,7.84%,,,,
46,9,HEALS,x stats,0,8,20,1137479,38650,6.54%,,,,
47,7,HEALS,Ramparts,1,6,41,992360,66468,13.73%,,,,
48,8,DISRUPTOR,KeepYourselfSafe,4,6,48,0,546000,16.99%,,,,
49,1,FLAIL,Dong Seo Long,0,3,171,81384,310066,55.88%,,,,
50,1,TANK,CP Money,0,1,170,0,355726,55.56%,,,,
