Rank,Group,Build,Player,Kills,Deaths,Assists,Healing,Damage,KP%,Defender,Attacker,Result,Full,Rank_1,Group_1,Build_1,Player_1,Kills_1,Deaths_1,Assists_1,Healing_1,Damage_1,KP%_1
1,8,FIRESTAFF,Pestilenced,11,2,114,0,4723086,63.78%,Mercguards,OppoBon,loss,yes,1,,,Ekong,23,2,173,0,5745039,68.77%
2,1,HEALS,Anoula,0,1,76,8559978,247630,38.78%,,,,,2,,,emo oumae,1,2,108,7174013,361497,38.25%
3,4,QDPS,Only Bruiser,6,3,118,0,2942395,63.27%,,,,,3,,,choke me papi,11,4,175,0,3804473,65.26%
4,5,QDPS,Velkhana'sSummer,4,3,111,4775,2948210,58.67%,,,,,4,,,Akilleys III,9,0,200,0,3334170,73.33%
5,5,HEALS,Guzy875,0,1,51,4864126,31994,26.02%,,,,,5,,,Reported Guy,24,2,92,0,3074772,40.70%
6,2,QDPS,WARRIAS STEP DAD,6,9,102,0,2347721,55.10%,,,,,6,,,Underflip,11,2,137,0,3007366,51.93%
7,7,FIRESTAFF,ION RUN IT,6,2,65,0,2018344,36.22%,,,,,7,,,FOR70YEARS,9,2,140,7542,2325270,52.28%
8,1,HEALS,dead weight,0,2,75,3477146,122242,38.27%,,,,,8,,,Jaro,9,3,147,0,2136996,54.74%
9,9,DEX,mommi,7,3,37,0,1859797,22.45%,,,,,9,,,firestaff,7,0,178,0,2021582,64.91%
10,6,BRUISER,ryoolas,7,9,102,0,1741729,55.61%,,,,,10,,,Vore,9,7,148,0,1901985,55.09%
11,5,BRUISER,Not Prince,8,5,114,0,1677256,62.24%,,,,,11,,,CherieFanClub,5,4,157,0,1904814,56.84%
12,3,BRUISER,Not DRE,5,4,108,0,1678637,57.65%,,,,,12,,,grippy socks,5,5,164,46909,1876181,59.30%
13,2,BRUISER,TheActualBobRoss,3,12,103,1286,1649838,54.08%,,,,,13,,,JD Vannce,10,9,125,0,1569586,47.37%
14,6,HEALS,her,0,3,85,3040121,126524,43.37%,,,,,14,,,xVoyd,9,9,117,0,1554887,44.21%
15,3,BRUISER,Psalm 11,2,3,120,0,1580575,62.24%,,,,,15,,,iSuckDontHitMe,16,5,95,0,1541771,38.95%
16,5,BRUISER,DAZBEE,5,4,121,1795,1555548,64.29%,,,,,16,,,Zercules,8,1,83,0,1558819,31.93%
17,3,HEALS,DreamuTeamu,0,2,77,2815277,104390,39.29%,,,,,17,,,shmook,8,5,156,0,1490834,57.54%
18,6,QDPS,Sponqy,19,5,83,0,1437938,52.04%,,,,,18,,,AhMyGourd,6,6,142,0,1490720,51.93%
19,1,BRUISER,Cali Mae,8,7,112,0,1348948,61.22%,,,,,19,,,any ping,1,1,58,2961148,57588,20.70%
20,10,DEX,Recurve,2,2,45,0,1393413,23.98%,,,,,20,,,MyGuyRob,8,4,102,17906,1418292,38.60%
21,4,BRUISER,Injury,9,8,101,0,1303131,56.12%,,,,,21,,,BADASS,6,5,150,0,1357494,54.74%
22,6,HEALS,fella in paris,8,7,116,69,1267678,63.27%,,,,,22,,,Self Inflicted,6,3,168,0,1326249,61.05%
23,8,VG/IG,Anom4ly,5,5,59,18608,1291452,32.65%,,,,,23,,,Restricted Guy,0,0,23,2764675,1757,8.07%
24,7,HEALS,Sassafras,0,1,29,2305410,19883,14.80%,,,,,24,,,MilkMeNow,0,1,90,2423444,134229,31.58%
25,4,BRUISER,HISS HISS,7,11,64,0,1094866,36.22%,,,,,25,,,Kitt3n Tamer,4,12,120,0,1311394,43.51%
26,4,HEALS,Ellwing,0,4,55,2066257,61238,28.06%,,,,,26,,,Kirtaap,0,0,33,2665439,12393,11.58%
27,2,VG/IG,Beau Nerrs,1,4,120,28802,1010508,61.73%,,,,,27,,,Jayt,10,5,156,0,1216270,58.25%
28,10,DEX,pebbly peb,6,6,32,0,1052350,19.39%,,,,,28,,,Xiaohu,3,2,148,17315,1228385,52.98%
29,2,BRUISER,Yo Nature,5,15,77,1619,1026928,41.84%,,,,,29,,,Yung Noodle,0,0,106,2202790,130489,37.19%
30,1,BRUISER,SilverElement1,7,15,65,3531,1011470,36.73%,,,,,30,,,Lobotomy Victim,0,4,26,2363263,57735,9.12%
31,3,QDPS,eMVePe,8,3,72,0,1003595,40.82%,,,,,31,,,Chair Survivor,5,9,40,37011,1181287,15.79%
32,2,HEALS,Plucky,0,8,57,1906450,55565,29.08%,,,,,32,,,Cl3fairy,1,1,18,2369691,97427,6.67%
33,7,DISRUPTOR,Luna-TerraLulu,9,7,38,2668,988174,23.98%,,,,,33,,,Dirtwire,3,10,114,0,1165642,41.05%
34,6,VG/IG,Pradix,4,5,92,29836,934905,48.98%,,,,,34,,,Half Heavy,15,1,128,0,984857,50.18%
35,10,DISRUPTOR,beta,4,4,28,0,953630,16.33%,,,,,35,,,Zyxcw,7,0,187,34913,937987,68.07%
36,7,DISRUPTOR,Animull,3,6,39,34148,898552,21.43%,,,,,36,,,Seamlezz,5,2,47,0,988783,18.25%
37,8,HEALS,Pls Pocket Me,0,2,36,1542859,66431,18.37%,,,,,37,,,Melokore,0,2,47,1932954,26063,16.49%
38,9,HEALS,Mitosann,0,5,24,1498541,56747,12.24%,,,,,38,,,Aldrak,7,6,69,0,931050,26.67%
39,10,HEALS,Girl HEALS,3,5,33,26393,775626,18.37%,,,,,39,,,II DEMON II,5,2,132,14110,886234,48.07%
40,7,VG/IG,Dynastinae,4,7,50,9468,757430,27.55%,,,,,40,,,Another HEALS,1,1,41,1793792,44771,14.74%
41,3,HEALS,Hazy,0,3,43,1479121,35070,21.94%,,,,,41,,,xDougJudy,4,3,71,0,903214,26.32%
42,10,HEALS,NickyUwU,0,0,18,1473814,10818,9.18%,,,,,42,,,Arya Dedyet,0,5,152,16746,855179,53.33%
43,2,FLAIL,DudeSavant,1,10,105,173020,581347,54.08%,,,,,43,,,SayMyNameDaddy,0,0,17,1577288,15628,5.96%
44,9,DISRUPTOR,Thaean,3,13,22,0,593628,12.76%,,,,,44,,,Resp,1,6,41,15491,732573,14.74%
45,4,VG/IG,Lady Miso,0,8,92,5244,524300,46.94%,,,,,45,,,Jooek,3,5,46,0,640736,17.19%
46,8,DISRUPTOR,Conval,3,7,61,0,547228,32.65%,,,,,46,,,Firebringer,2,8,148,96925,507335,52.63%
47,8,HEALS,O P,3,8,41,0,484454,22.45%,,,,,47,,,Slayer,5,5,47,0,475287,18.25%
48,9,DISRUPTOR,Flight,3,10,51,0,592917,27.55%,,,,,48,,,deep inside,1,7,49,0,457811,17.54%
49,8,DISRUPTOR,Zooob,0,11,54,109,391739,27.55%,,,,,49,,,GUSSTAVO,1,9,128,75738,367151,45.26%
50,1,TANK,CP Money,1,5,124,0,333341,63.78%,,,,,50,,,Rory Aife,1,9,137,0,251909,48.42%
