Rank,Group,Build,Player,Kills,Deaths,Assists,Healing,Damage,KP%,Defender,Attacker,Result,Full,Rank_1,Group_1,Build_1,Player_1,Kills_1,Deaths_1,Assists_1,Healing_1,Damage_1,KP%_1
43,10,HEALS,Im His Guac,0,3,27,1207203,45782,10.15%,,,,,43,10,DISRUPTOR,Odanne,3,7,30,0,592973,15.71%
44,7,VG/IG,Dynastinae,1,1,96,12391,596026,36.47%,,,,,44,6,HEALS,Steakfarms,0,5,28,1171007,9201,13.33%
45,5,HEALS,Panda212,0,4,49,1161954,51745,18.42%,,,,,45,7,DISRUPTOR,4thTimeForSure,2,10,22,0,582908,11.43%
46,7,DISRUPTOR,Toofs,5,5,58,74791,666597,23.68%,,,,,46,4,HEALS,Sweets,0,7,26,1049021,31777,12.38%
47,6,VG/IG,Towfuuu,1,4,114,10221,555115,43.23%,,,,,47,7,DISRUPTOR,Warchief Roric,2,7,34,0,491049,17.14%
48,8,DISRUPTOR,Briizyn,4,9,48,0,518259,19.55%,,,,,48,7,VG/IG,Ninja66,1,6,41,2710,444305,20.00%
49,1,TANK,CP Money,0,1,144,0,302104,54.14%,,,,,49,9,DISRUPTOR,ILEmi,2,4,68,0,407509,33.33%
,,,,,,,,,,,,,,50,2,TANK,BUTTER ON POINT,1,4,103,0,562204,49.52%
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
