Rank,Group,Build,Player,Kills,Deaths,Assists,Healing,Damage,KP %,Defender,Attacker,Result,Full
1,1,HEALS,Anoula,0,1,79,8269412,322256,25.40%,K6,MercGuards,loss,yes
2,3,QDPS,Papi Fuego,10,8,123,0,2044105,42.77%,,,,
3,1,BRUISER,TheActualBobRoss,11,5,133,8913,1970091,46.30%,,,,
4,8,FS/X,ZaddySimpy,7,3,123,0,1758721,41.80%,,,,
5,4,BRUISER,Prime Framming,7,0,177,371,1676983,59.16%,,,,
6,6,BRUISER,Psalm11,13,4,143,1049,1644985,50.16%,,,,
7,3,QDPS,Draconicx,11,7,117,0,1646175,41.16%,,,,
8,5,QDPS,III BOB ROSS III,11,1,112,0,1626713,39.55%,,,,
9,4,BRUISER,Grassy,8,2,152,550,1500655,51.45%,,,,
10,2,BRUISER,Brando,10,7,124,0,1470868,43.09%,,,,
11,6,QDPS,Cheapo,9,4,91,0,1456674,32.15%,,,,
12,6,HEALS,TheFrontLine,0,4,70,2840707,82952,22.51%,,,,
13,9,DISRUPTOR,bunny,21,3,90,0,1438564,35.69%,,,,
14,2,BRUISER,Psyduck Nationx,7,8,128,1784,1335202,43.41%,,,,
15,7,DISRUPTOR,EvilArisen 2.0,4,6,90,70097,1298393,30.23%,,,,
16,10,DISRUPTOR,xRhaego,26,4,66,0,1275820,29.58%,,,,
17,3,BRUISER,Hahhttorii,9,10,114,1487,1278192,39.55%,,,,
18,9,VG/IG,God of Suffering,6,10,138,18008,1247666,46.30%,,,,
19,8,DISRUPTOR,Zoob,13,1,127,25904,1230706,45.02%,,,,
20,5,BRUISER,Shield Rush,9,7,113,3198,1236191,39.23%,,,,
21,4,QDPS,Fe7on,6,10,52,0,1117978,18.65%,,,,
22,5,BRUISER,OldManGamin,5,6,123,256,1045358,41.16%,,,,
23,4,HEALS,unit 00,0,3,69,2009184,59531,22.19%,,,,
24,3,BRUISER,Castle of ill,9,6,130,1257,1004787,44.69%,,,,
25,10,DEX,Arii,10,6,51,0,1007450,19.61%,,,,
26,7,FS/X,PocahontIts,3,4,78,0,1005635,26.05%,,,,
27,3,HEALS,WeakSide,0,2,87,1709696,155793,27.97%,,,,
28,4,VG/IG,Jagz II,1,6,145,11966,1071860,46.95%,,,,
29,1,HEALS,Panda212,0,2,93,1788762,85419,29.90%,,,,
30,6,VG/IG,IsThatBeauNerrs,5,8,154,53172,915812,51.13%,,,,
31,8,VG/IG,Anomaly,7,2,127,56793,882748,43.09%,,,,
32,6,BRUISER,Yo Nature,8,12,99,329,914908,34.41%,,,,
33,2,DEX,Primey1,8,8,47,0,962733,17.68%,,,,
34,7,VG/IG,Jitch,5,3,113,13963,928189,37.94%,,,,
35,2,HEALS,Plucky,0,2,80,1667505,76862,25.72%,,,,
36,2,QDPS,Gintani,9,5,81,0,871458,28.94%,,,,
37,10,DEX,Recurve,11,9,46,0,791212,18.33%,,,,
38,8,HEALS,Bweezin,0,7,55,1557623,32224,17.68%,,,,
39,7,HEALS,SweetFeetGriffin,0,5,27,1494083,39274,8.68%,,,,
40,9,HEALS,Colby Jr.,0,4,63,1372847,78420,20.26%,,,,
41,5,VG/IG,Arya Inyet,2,6,151,4144,653766,49.20%,,,,
42,10,DISRUPTOR,LegendNoxasMarv,6,4,58,32406,690370,20.58%,,,,
43,10,HEALS,Hazy,0,3,30,1272960,35063,9.65%,,,,
44,5,HEALS,Ellwing,0,4,59,1141533,58851,18.97%,,,,
45,7,DISRUPTOR,Helga Longbottom,4,5,60,16322,586688,20.58%,,,,
46,8,DISRUPTOR,prim locked,6,6,98,0,548955,33.44%,,,,
47,9,DISRUPTOR,TheAwesomest,8,10,57,0,556959,20.90%,,,,
48,9,DISRUPTOR,CrabPicker,4,4,90,0,549598,30.23%,,,,
49,1,TANK,CPH Money,1,2,182,141,506496,58.84%,,,,
50,1,FLAIL,Me99999,1,4,179,65655,272525,57.88%,,,,
